#: table_doi: 10.17182/hepdata.6187.v1/t34
#: name: Table 34
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 35.0 GeV and X =0.020.

#: data_file: Table34.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 8.157
#: E(P=1) [GeV],35.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],8.157
#: X,0.02
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,11.026,0.445,-0.445,0.995,-0.995
0.3,11.09,0.462,-0.462,0.781,-0.781
0.4,12.21,0.501,-0.501,0.685,-0.685
0.5,12.348,0.493,-0.493,0.741,-0.741
0.6,11.806,0.475,-0.475,0.731,-0.731
0.7,11.024,0.452,-0.452,0.911,-0.911

#: E(P=1) [GeV],35.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],8.157
#: X,0.02
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,9.951,0.676,-0.676,0.79,-0.79
0.3,9.668,0.683,-0.683,0.644,-0.644
0.4,9.069,0.67,-0.67,0.576,-0.576
0.5,8.216,0.629,-0.629,0.604,-0.604
0.6,8.931,0.657,-0.657,0.591,-0.591
0.7,8.428,0.637,-0.637,0.588,-0.588

