#: table_doi: 10.17182/hepdata.6187.v1/t113
#: name: Table 113
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 170.0 GeV and X =0.080.

#: data_file: Table113.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 17.883
#: E(P=1) [GeV],170.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],17.883
#: X,0.08
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,22.22,0.988,-0.988,0.921,-0.921
0.2,23.501,0.993,-0.993,0.992,-0.992
0.3,23.593,0.981,-0.981,1.016,-1.016
0.4,22.101,0.954,-0.954,1.666,-1.666

#: E(P=1) [GeV],170.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],17.883
#: X,0.08
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,20.786,2.717,-2.717,1.357,-1.357
0.2,17.964,2.433,-2.433,0.909,-0.909
0.3,14.314,2.191,-2.191,1.03,-1.03
0.4,13.75,2.233,-2.233,1.476,-1.476

