#: table_doi: 10.17182/hepdata.6187.v1/t97
#: name: Table 97
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 110.0 GeV and X =0.450.

#: data_file: Table97.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 14.396
#: E(P=1) [GeV],110.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],14.396
#: X,0.45
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,8.142,0.361,-0.361,0.986,-0.986
0.2,6.95,0.328,-0.328,0.823,-0.823
0.3,6.782,0.32,-0.32,0.702,-0.702
0.4,6.5,0.308,-0.308,0.487,-0.487
0.5,5.899,0.294,-0.294,0.37,-0.37
0.6,6.266,0.307,-0.307,0.27,-0.27
0.7,5.593,0.287,-0.287,0.193,-0.193

#: E(P=1) [GeV],110.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],14.396
#: X,0.45
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,5.121,0.569,-0.569,0.71,-0.71
0.2,3.109,0.432,-0.432,0.404,-0.404
0.3,3.1,0.447,-0.447,0.199,-0.199
0.4,1.264,0.278,-0.278,0.095,-0.095
0.5,1.181,0.268,-0.268,0.066,-0.066
0.6,0.97,0.254,-0.254,0.067,-0.067
0.7,0.722,0.22,-0.22,0.079,-0.079

