#: table_doi: 10.17182/hepdata.6187.v1/t46
#: name: Table 46
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 45.0 GeV and X =0.045.

#: data_file: Table46.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 9.236
#: E(P=1) [GeV],45.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],9.236
#: X,0.045
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,15.27,0.574,-0.574,0.743,-0.743
0.3,16.395,0.613,-0.613,0.853,-0.853
0.4,15.218,0.582,-0.582,0.797,-0.797
0.5,16.315,0.601,-0.601,1.072,-1.072
0.6,16.412,0.587,-0.587,1.087,-1.087
0.7,15.576,0.558,-0.558,1.224,-1.224
0.8,14.996,0.552,-0.552,1.402,-1.402

#: E(P=1) [GeV],45.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],9.236
#: X,0.045
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,11.899,0.823,-0.823,0.523,-0.523
0.3,13.21,0.916,-0.916,0.762,-0.762
0.4,11.505,0.831,-0.831,0.653,-0.653
0.5,10.928,0.802,-0.802,0.563,-0.563
0.6,9.709,0.739,-0.739,0.712,-0.712
0.7,8.334,0.664,-0.664,0.62,-0.62
0.8,7.585,0.643,-0.643,0.632,-0.632

