#: table_doi: 10.17182/hepdata.6187.v1/t56
#: name: Table 56
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 55.0 GeV and X =0.020.

#: data_file: Table56.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 10.201
#: E(P=1) [GeV],55.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],10.201
#: X,0.02
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,12.977,0.776,-0.776,0.716,-0.716
0.3,13.554,0.823,-0.823,0.616,-0.616
0.4,12.585,0.767,-0.767,0.674,-0.674
0.5,15.035,0.827,-0.827,0.761,-0.761
0.6,13.568,0.772,-0.772,0.853,-0.853
0.7,12.692,0.736,-0.736,0.941,-0.941
0.8,13.066,0.746,-0.746,1.14,-1.14

#: E(P=1) [GeV],55.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],10.201
#: X,0.02
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,12.193,1.329,-1.329,0.944,-0.944
0.3,12.903,1.396,-1.396,0.909,-0.909
0.4,9.24,1.122,-1.122,0.33,-0.33
0.5,10.826,1.206,-1.206,1.059,-1.059
0.6,9.6,1.158,-1.158,0.609,-0.609
0.7,8.129,1.013,-1.013,0.821,-0.821
0.8,8.065,1.029,-1.029,0.816,-0.816

