#: table_doi: 10.17182/hepdata.6187.v1/t54
#: name: Table 54
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 45.0 GeV and X =0.550.

#: data_file: Table54.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 9.236
#: E(P=1) [GeV],45.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],9.236
#: X,0.55
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,4.822,0.181,-0.181,0.74,-0.74
0.3,4.126,0.173,-0.173,0.503,-0.503
0.4,4.038,0.173,-0.173,0.495,-0.495
0.5,3.626,0.164,-0.164,0.36,-0.36
0.6,3.69,0.162,-0.162,0.261,-0.261
0.7,3.14,0.149,-0.149,0.254,-0.254

#: E(P=1) [GeV],45.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],9.236
#: X,0.55
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,2.855,0.227,-0.227,0.388,-0.388
0.3,1.699,0.171,-0.171,0.196,-0.196
0.4,1.412,0.168,-0.168,0.135,-0.135
0.5,0.744,0.116,-0.116,0.095,-0.095
0.6,0.382,0.076,-0.076,0.044,-0.044
0.7,0.255,0.059,-0.059,0.026,-0.026

