#: table_doi: 10.17182/hepdata.6187.v1/t86
#: name: Table 86
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 90.0 GeV and X =0.450.

#: data_file: Table86.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.028
#: E(P=1) [GeV],90.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],13.028
#: X,0.45
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,7.579,0.289,-0.289,0.954,-0.954
0.2,7.294,0.292,-0.292,0.745,-0.745
0.3,6.958,0.284,-0.284,0.691,-0.691
0.4,6.548,0.268,-0.268,0.526,-0.526
0.5,6.009,0.252,-0.252,0.417,-0.417
0.6,5.818,0.247,-0.247,0.332,-0.332
0.7,5.756,0.245,-0.245,0.322,-0.322
0.8,5.289,0.235,-0.235,0.28,-0.28

#: E(P=1) [GeV],90.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],13.028
#: X,0.45
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,5.524,0.471,-0.471,0.855,-0.855
0.2,3.559,0.384,-0.384,0.367,-0.367
0.3,3.149,0.349,-0.349,0.358,-0.358
0.4,1.673,0.253,-0.253,0.117,-0.117
0.5,1.803,0.255,-0.255,0.082,-0.082
0.6,0.909,0.186,-0.186,0.08,-0.08
0.7,0.713,0.157,-0.157,0.067,-0.067
0.8,0.26,0.096,-0.096,0.026,-0.026

