#: table_doi: 10.17182/hepdata.6187.v1/t121
#: name: Table 121
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 170.0 GeV and X =0.650.

#: data_file: Table121.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 17.883
#: E(P=1) [GeV],170.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],17.883
#: X,0.65
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,1.703,0.117,-0.117,0.321,-0.321
0.2,1.431,0.109,-0.109,0.206,-0.206
0.3,1.328,0.107,-0.107,0.142,-0.142
0.4,1.093,0.098,-0.098,0.175,-0.175

#: E(P=1) [GeV],170.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],17.883
#: X,0.65
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,1.18,0.238,-0.238,0.279,-0.279
0.2,0.736,0.2,-0.2,0.08,-0.08
0.3,0.686,0.199,-0.199,0.126,-0.126
0.4,0.415,0.181,-0.181,0.079,-0.079

