#: table_doi: 10.17182/hepdata.6187.v1/t106
#: name: Table 106
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 130.0 GeV and X =0.275.

#: data_file: Table106.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.645
#: E(P=1) [GeV],130.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],15.645
#: X,0.275
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,15.229,0.865,-0.865,1.048,-1.048
0.2,13.923,0.817,-0.817,0.684,-0.684
0.3,14.222,0.799,-0.799,0.537,-0.537
0.4,13.099,0.762,-0.762,0.343,-0.343
0.5,13.366,0.775,-0.775,0.549,-0.549
0.6,12.012,0.713,-0.713,0.446,-0.446

#: E(P=1) [GeV],130.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],15.645
#: X,0.275
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,8.643,1.534,-1.534,0.716,-0.716
0.2,11.72,1.791,-1.791,0.97,-0.97
0.3,7.282,1.437,-1.437,0.392,-0.392
0.4,6.397,1.259,-1.259,0.279,-0.279
0.5,3.665,1.015,-1.015,0.289,-0.289
0.6,2.792,0.842,-0.842,0.394,-0.394

