#: table_doi: 10.17182/hepdata.6187.v1/t35
#: name: Table 35
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 35.0 GeV and X =0.045.

#: data_file: Table35.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 8.157
#: E(P=1) [GeV],35.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],8.157
#: X,0.045
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,15.058,0.428,-0.428,0.817,-0.817
0.3,14.654,0.442,-0.442,0.725,-0.725
0.4,15.893,0.47,-0.47,0.967,-0.967
0.5,16.19,0.469,-0.469,1.118,-1.118
0.6,14.912,0.44,-0.44,1.046,-1.046
0.7,14.922,0.438,-0.438,1.147,-1.147

#: E(P=1) [GeV],35.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],8.157
#: X,0.045
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,13.006,0.63,-0.63,0.622,-0.622
0.3,11.468,0.611,-0.611,0.687,-0.687
0.4,11.756,0.642,-0.642,0.742,-0.742
0.5,10.585,0.587,-0.587,0.611,-0.611
0.6,9.708,0.572,-0.572,0.652,-0.652
0.7,7.678,0.492,-0.492,0.637,-0.637

