#: table_doi: 10.17182/hepdata.6187.v1/t66
#: name: Table 66
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 55.0 GeV and X =0.650.

#: data_file: Table66.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 10.201
#: E(P=1) [GeV],55.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],10.201
#: X,0.65
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,2.02,0.126,-0.126,0.412,-0.412
0.3,1.788,0.124,-0.124,0.302,-0.302
0.4,1.734,0.126,-0.126,0.268,-0.268
0.5,1.444,0.114,-0.114,0.189,-0.189
0.6,1.61,0.124,-0.124,0.217,-0.217
0.7,1.293,0.112,-0.112,0.167,-0.167

#: E(P=1) [GeV],55.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],10.201
#: X,0.65
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,0.821,0.13,-0.13,0.179,-0.179
0.3,0.642,0.132,-0.132,0.114,-0.114
0.4,0.376,0.088,-0.088,0.073,-0.073
0.5,0.192,0.066,-0.066,0.043,-0.043
0.6,0.232,0.075,-0.075,0.072,-0.072
0.7,0.085,0.044,-0.044,0.019,-0.019

