#: table_doi: 10.17182/hepdata.114778.v1/t6
#: name: Inclusive jet - Inclusive jet correlation
#: description: The correlation matrix for the point-to-point uncertainties (statistical and systematics) for the inclusive jet measurements.The relative luminosity and beam polarization uncertainties are not included because they are the same for all points.
#: data_file: IncInc.yaml
#: keyword reactions: P P --> JET X
#: keyword observables: CORR
Parton Jet $p_{T}$ (GeV/$c$),Parton Jet $p_{T}$ (GeV/$c$),Correlation Inclusive-Inclusive jet
7.79,7.79,1.0
7.79,9.62,0.007
7.79,11.67,0.004
7.79,13.59,0.004
7.79,15.76,0.003
7.79,19.89,0.001
7.79,22.68,0.001
7.79,25.94,0.0
7.79,29.75,0.0
7.79,34.29,0.0
7.79,39.59,0.0
7.79,45.76,0.0
7.79,53.17,0.0
7.79,61.37,0.0
9.62,9.62,1.0
9.62,11.67,0.005
9.62,13.59,0.005
9.62,15.76,0.005
9.62,19.89,0.002
9.62,22.68,0.001
9.62,25.94,0.001
9.62,29.75,0.0
9.62,34.29,0.0
9.62,39.59,0.0
9.62,45.76,0.0
9.62,53.17,0.0
9.62,61.37,0.0
11.67,11.67,1.0
11.67,13.59,0.008
11.67,15.76,0.009
11.67,19.89,0.004
11.67,22.68,0.002
11.67,25.94,0.002
11.67,29.75,0.001
11.67,34.29,0.001
11.67,39.59,0.0
11.67,45.76,0.0
11.67,53.17,0.0
11.67,61.37,0.0
13.59,13.59,1.0
13.59,15.76,0.012
13.59,19.89,0.005
13.59,22.68,0.004
13.59,25.94,0.002
13.59,29.75,0.002
13.59,34.29,0.001
13.59,39.59,0.0
13.59,45.76,0.0
13.59,53.17,0.0
13.59,61.37,0.0
15.76,15.76,1.0
15.76,19.89,0.007
15.76,22.68,0.005
15.76,25.94,0.004
15.76,29.75,0.003
15.76,34.29,0.002
15.76,39.59,0.001
15.76,45.76,0.0
15.76,53.17,0.0
15.76,61.37,0.0
19.89,19.89,1.0
19.89,22.68,0.009
19.89,25.94,0.01
19.89,29.75,0.009
19.89,34.29,0.007
19.89,39.59,0.005
19.89,45.76,0.003
19.89,53.17,0.002
19.89,61.37,0.001
22.68,22.68,1.0
22.68,25.94,0.013
22.68,29.75,0.013
22.68,34.29,0.011
22.68,39.59,0.009
22.68,45.76,0.005
22.68,53.17,0.003
22.68,61.37,0.001
25.94,25.94,1.0
25.94,29.75,0.019
25.94,34.29,0.018
25.94,39.59,0.014
25.94,45.76,0.01
25.94,53.17,0.006
25.94,61.37,0.003
29.75,29.75,1.0
29.75,34.29,0.024
29.75,39.59,0.022
29.75,45.76,0.016
29.75,53.17,0.01
29.75,61.37,0.005
34.29,34.29,1.0
34.29,39.59,0.029
34.29,45.76,0.025
34.29,53.17,0.017
34.29,61.37,0.01
39.59,39.59,1.0
39.59,45.76,0.033
39.59,53.17,0.026
39.59,61.37,0.017
45.76,45.76,1.0
45.76,53.17,0.036
45.76,61.37,0.027
53.17,53.17,1.0
53.17,61.37,0.037
61.37,61.37,1.0
