,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
11,0.002,0.003,0.002,0.002,0.003,0.004,0.006,0.013,0.028,0.052,1.0,0.001,0.003,0.003,0.001,0.002,0.002,0.004,0.006,0.013,0.028,0.04,0.0,0.0,0.0,0.002,0.007,0.06,0.266,0.0,0.0,0.0,0.001,0.005,0.046,0.245,0.0,0.0,0.0,0.0,0.0,0.002,0.037,0.0,0.0,0.0,0.0,0.0,0.006,0.058,0.0,0.0,0.0,0.0,0.0
12,0.043,0.011,0.007,0.006,0.008,0.008,0.005,0.004,0.003,0.002,0.001,1.0,0.009,0.009,0.005,0.003,0.003,0.004,0.002,0.001,0.002,0.001,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.005,0.002,0.0,0.0,0.0,0.0,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.0,0.0,0.0
13,0.011,0.047,0.011,0.01,0.013,0.014,0.009,0.007,0.005,0.003,0.003,0.009,1.0,0.016,0.008,0.006,0.004,0.008,0.003,0.002,0.003,0.001,0.021,0.007,0.001,0.0,0.0,0.0,0.0,0.017,0.012,0.003,0.0,0.0,0.0,0.0,0.009,0.012,0.007,0.002,0.0,0.0,0.0,0.021,0.008,0.001,0.0,0.0,0.0,0.0,0.009,0.003,0.0,0.0,0.0
14,0.011,0.018,0.051,0.013,0.017,0.018,0.012,0.01,0.006,0.004,0.003,0.009,0.016,1.0,0.011,0.009,0.007,0.01,0.005,0.004,0.004,0.002,0.064,0.037,0.011,0.001,0.0,0.0,0.0,0.047,0.045,0.02,0.004,0.0,0.0,0.0,0.022,0.032,0.028,0.013,0.003,0.0,0.0,0.054,0.037,0.013,0.002,0.001,0.0,0.0,0.022,0.017,0.005,0.0,0.0
15,0.005,0.009,0.009,0.039,0.014,0.014,0.01,0.007,0.004,0.002,0.001,0.005,0.008,0.011,1.0,0.009,0.008,0.008,0.004,0.002,0.003,0.001,0.055,0.065,0.037,0.008,0.001,0.0,0.0,0.02,0.059,0.049,0.018,0.003,0.0,0.0,0.011,0.027,0.037,0.032,0.012,0.002,0.0,0.042,0.056,0.037,0.009,0.002,0.001,0.0,0.018,0.024,0.016,0.003,0.0
16,0.005,0.008,0.008,0.012,0.034,0.018,0.014,0.01,0.005,0.003,0.002,0.003,0.006,0.009,0.009,1.0,0.012,0.011,0.007,0.004,0.002,0.002,0.018,0.065,0.069,0.034,0.005,0.0,0.0,0.002,0.041,0.065,0.052,0.016,0.002,0.0,0.002,0.015,0.03,0.043,0.035,0.009,0.0,0.017,0.046,0.059,0.029,0.006,0.002,0.0,0.008,0.022,0.027,0.012,0.001
17,0.003,0.006,0.007,0.01,0.016,0.033,0.019,0.015,0.009,0.004,0.002,0.003,0.004,0.007,0.008,0.012,1.0,0.015,0.01,0.006,0.004,0.001,0.001,0.036,0.068,0.076,0.029,0.003,0.0,0.0,0.014,0.051,0.074,0.052,0.011,0.0,0.0,0.005,0.016,0.033,0.049,0.035,0.001,0.004,0.022,0.05,0.059,0.02,0.005,0.0,0.002,0.012,0.025,0.026,0.009
18,0.005,0.009,0.008,0.01,0.017,0.026,0.04,0.026,0.017,0.008,0.004,0.004,0.008,0.01,0.008,0.011,0.015,1.0,0.017,0.01,0.007,0.003,0.0,0.01,0.039,0.074,0.076,0.02,0.0,0.0,0.002,0.024,0.055,0.083,0.05,0.001,0.0,0.001,0.006,0.016,0.036,0.066,0.005,0.0,0.006,0.023,0.056,0.052,0.014,0.001,0.0,0.004,0.014,0.028,0.024
19,0.002,0.004,0.004,0.005,0.011,0.018,0.024,0.05,0.026,0.016,0.006,0.002,0.003,0.005,0.004,0.007,0.01,0.017,1.0,0.015,0.011,0.005,0.0,0.001,0.015,0.039,0.083,0.073,0.001,0.0,0.0,0.007,0.025,0.061,0.106,0.008,0.0,0.0,0.002,0.006,0.017,0.066,0.033,0.0,0.001,0.007,0.024,0.059,0.044,0.003,0.0,0.001,0.005,0.015,0.028
20,0.001,0.003,0.002,0.003,0.007,0.011,0.016,0.026,0.046,0.026,0.013,0.001,0.002,0.004,0.002,0.004,0.006,0.01,0.015,1.0,0.017,0.008,0.0,0.0,0.004,0.013,0.04,0.114,0.011,0.0,0.0,0.001,0.008,0.025,0.109,0.053,0.0,0.0,0.0,0.002,0.006,0.036,0.077,0.0,0.0,0.001,0.006,0.024,0.065,0.011,0.0,0.0,0.001,0.005,0.015
