1    5.02    69.5   6.1   +5.6    -5.6    1.6
2    7.0    173.6    2.1   +4.5    -4.0    3.8
3    8.0    244.9    1.4   +6.3	   -5.5	   6.4
4   13.0    792.0    8.0   +37     -37     21
