0.0     -0.4      0.6     14.0     -7.2    -17.8     -2.2      9.0      -2.2      0.6     -3.0     -0.8     -1.8       9.2   
-0.2     -1.1     -0.4     -1.3     -7.3    -17.3     -3.8     -1.0      -1.2      0.9     -3.4     -0.3     -1.1      11.4   
-0.3     -2.6      0.8      4.7    -13.7    -14.5      0.0      8.2      -3.9      2.6    -10.5     -1.3     -3.0      12.9   
-0.2     -0.5     -0.1     -1.0     -3.8    -15.2     -1.8     -1.4      -0.9      0.4     -2.3     -0.5     -0.5      10.7   
-0.6     -0.3      0.3      7.1     -8.1    -11.9      0.0      7.7      -3.4      2.0     -8.6     -1.2     -2.8      13.3   
-0.3     -0.8     -0.4     -2.9     -2.8    -10.2     -1.4     -0.6      -1.4      0.8     -3.3     -1.1     -1.5      12.1   
-0.4     -0.5      0.3      7.2     -3.0     -7.4      0.0     10.1      -2.9      1.3     -6.8     -1.4     -2.8      14.8   
-0.4     -1.8     -0.6     -2.1     -1.3     -8.7      0.0      0.8      -0.9      0.3     -2.5     -1.0     -1.2      12.6   
-0.3     -2.4      0.4      4.7     -1.4     -5.1      0.0     10.3      -2.0      0.5     -4.5     -1.3     -1.0      15.1   
-0.8     -1.5     -1.0     -2.7     -1.0     -5.4     -1.9      0.3      -1.1      0.3     -4.0     -2.2     -2.8      13.0   
-0.2     -0.6      0.1      7.9     -0.3     -1.8      0.0     10.6      -0.6     -0.5     -1.3     -0.9     -0.1      13.0   
-0.9     -0.2      0.2      0.8      0.5     -2.2      2.4      2.3      -0.5     -0.2     -1.8     -1.2     -6.0      11.8   
