DEUT BCDMSD				                BCDMSD
DEUT NMCPD				                NMCPD
DEUT SLACD				                SLACD
DEU  SLACD						SLACD_sh
DEU  BCDMSD						BCDMSD_sh
DEU  NMCPD_D						NMCPD_sh
DEU  NMCPD_P						NMCPD_sh
DEU  DYE886R_D						DYE886R_sh
DEU  DYE886R_P						DYE886R_sh
NUC  CHORUSNUPb						CHORUSNUPb_sh
NUC  CHORUSNBPb						CHORUSNBPb_sh
NUC  NTVNUDMNFe						NTVNUDMNFe_sh
NUC  NTVNBDMNFe						NTVNBDMNFe_sh
NUC  EMCF2C                                             EMCF2C_sh
NUC  DYE605						DYE605_sh
DEUI SLACD						SLACD_sh_ite
DEUI BCDMSD						BCDMSD_sh_ite
DEUI NMCPD_D						NMCPD_sh_ite
DEUI NMCPD_P						NMCPD_sh_ite
DEUI DYE886R_D						DYE886R_sh_ite
DEUI DYE886R_P						DYE886R_sh_ite
DEUI DYE906R_D_BIN01					DYE906R_BIN01	
DEUI DYE906R_D_BIN02					DYE906R_BIN02	
DEUI DYE906R_D_BIN03					DYE906R_BIN03	
DEUI DYE906R_D_BIN04					DYE906R_BIN04	
DEUI DYE906R_D_BIN05			        	DYE906R_BIN05	
DEUI DYE906R_D_BIN06			        	DYE906R_BIN06	
DEUI DYE906R_D_BIN07			        	DYE906R_BIN07	
DEUI DYE906R_D_BIN08			        	DYE906R_BIN08	
DEUI DYE906R_D_BIN09			        	DYE906R_BIN09	
DEUI DYE906R_D_BIN10			        	DYE906R_BIN10	
DEUI DYE906R_P_BIN01			        	DYE906R_BIN01	
DEUI DYE906R_P_BIN02			        	DYE906R_BIN02	
DEUI DYE906R_P_BIN03			       		DYE906R_BIN03	
DEUI DYE906R_P_BIN04			        	DYE906R_BIN04	
DEUI DYE906R_P_BIN05			        	DYE906R_BIN05	
DEUI DYE906R_P_BIN06			        	DYE906R_BIN06	
DEUI DYE906R_P_BIN07			        	DYE906R_BIN07	
DEUI DYE906R_P_BIN08			        	DYE906R_BIN08	
DEUI DYE906R_P_BIN09			        	DYE906R_BIN09	
DEUI DYE906R_P_BIN10			        	DYE906R_BIN10
DEU3 SLACD						SLACD_sh_30
DEU3 BCDMSD						BCDMSD_sh_30
DEU3 NMCPD_D						NMCPD_sh_30
