xmin xmax x Q2 g1 stat sys
0.00006 0.00015 0.00011 0.03 -0.013 0.050 0.006
0.00015 0.00030 0.00022 0.06 0.056 0.040 0.015
0.0003 0.0005 0.00039 0.10 0.030 0.043 0.008
0.005 0.0008 0.00063 0.17 0.047 0.046 0.012
0.0008 0.0012 0.0010 0.26 0.030 0.048 0.008
0.0012 0.0020 0.0016 0.40 -0.054 0.045 0.012
0.002 0.003 0.0025 0.63 -0.012 0.054 0.005
0.003 0.006 0.0043 1.09 -0.010 0.051 0.005
0.006 0.010 0.0078 1.85 0.039 0.062 0.006
0.010 0.020 0.0143 3.15 -0.098 0.057 0.008
0.020 0.030 0.0245 5.09 0.010 0.081 0.006
0.030 0.040 0.0346 7.0 -0.013 0.107 0.006
0.040 0.060 0.0487 9.6 -0.059 0.102 0.007
0.060 0.100 0.077 14.7 0.070 0.113 0.008
0.100 0.150 0.121 22.9 -0.002 0.165 0.006
