		prev (Reference Fit)	prev (Reference Fit)	next (Reference Fit)	next (Reference Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.05	1.19	1.1210481906995002	1.2612273723687109
$\Sigma$	$\beta$	1.47	2.7	1.006558541557214	2.8629484273757297
$g$	$\alpha$	0.94	1.25	0.06668784935383021	1.5384374803384313
$g$	$\beta$	0.11	5.87	0.1315725965106238	5.732526485394278
$V$	$\alpha$	0.54	0.75	-0.7093302775916451	1.1512000057374403
$V$	$\beta$	1.15	2.76	0.0	2.1900569878988945
$V3$	$\alpha$	0.21	0.57	0.2789821106782337	0.5740162181168467
$V3$	$\beta$	1.35	3.08	1.0624895430645784	3.2318445440147525
$V8$	$\alpha$	0.52	0.76	0.3267460803443517	0.9773944098390231
$V8$	$\beta$	0.77	3.56	0.0	4.337513338728847
$T3$	$\alpha$	-0.37	1.52	0.07497379119270242	0.3677119328332722
$T3$	$\beta$	1.74	3.39	1.4481243527991485	3.2071686401396424
$T8$	$\alpha$	0.56	1.29	0.7168608339997818	0.9182812657688343
$T8$	$\beta$	1.45	3.03	1.668760346465187	3.5042220983068675
$c^+$	$\alpha$	0.12	1.19	0.44108402080709663	0.9460494308378226
$c^+$	$\beta$	1.83	6.7	3.2310875763159794	6.498841466375663
