	Current Fit	Reference Fit
$\chi^2$	0.91887	0.94843
$<E_{\mathrm{trn}}>$	0.91±0.14	1.90±0.12
$<E_{\mathrm{val}}>$	1.02±0.34	1.44±0.13
$<TL>$	450±280	300±110
$<\chi^2>$	0.934±0.029	1.067±0.060
$\phi$	0.122±0.068	0.344±0.051
