		next (Current Fit)	next (Current Fit)
		Min	Max
$\Sigma$	$\alpha$	1.1494149253483956	1.1494149253483956
$\Sigma$	$\beta$	1.23440899532051	1.730024363108928
$g$	$\alpha$	1.0595703864952624	1.0595703864952624
$g$	$\beta$	3.380210493863515	3.425095320373953
$V$	$\alpha$	0.6971020559436084	0.7225757751913158
$V$	$\beta$	1.598320167663211	1.9703573613916474
$V3$	$\alpha$	0.2713516324998833	0.313690800879008
$V3$	$\beta$	1.890105643797214	2.696950827508238
$V8$	$\alpha$	0.7571995885298913	0.8736408024814296
$V8$	$\beta$	0.0	0.8009555012040038
$T3$	$\alpha$	0.4482480341082948	0.6995538771889338
$T3$	$\beta$	1.5699164904380079	2.09425974412133
$T8$	$\alpha$	0.7110156590716873	0.7471354111078593
$T8$	$\beta$	2.368268064156184	2.7250467119290804
$c^+$	$\alpha$	0.5271194651739916	0.6167451258103291
$c^+$	$\beta$	2.4038095872499863	3.146188824012543
