#: table_doi: 10.17182/hepdata.79410.v1/t1
#: name: Table 1
#: description: Triple-differential dijet cross section as a function of the average transverse momentum of the leading two jets with detailed experimental uncertainties (symmetrised).
#: data_file: table_1.yaml
#: keyword observables: D3SIG/DPTAVG/DYBOOST/DYSTAR
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,0.0 <= YSTAR < 1.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,D3(SIG)/DPTAVG/DYBOOST/DYSTAR [pb/GeV],uncor +,uncor -,stat +,stat -,jererr +,jererr -,lumi +,lumi -,nongaussiantails +,nongaussiantails -,AbsoluteScale +,AbsoluteScale -,AbsoluteStat +,AbsoluteStat -,AbsoluteMPFBias +,AbsoluteMPFBias -,Fragmentation +,Fragmentation -,SinglePionECAL +,SinglePionECAL -,SinglePionHCAL +,SinglePionHCAL -,FlavorQCD +,FlavorQCD -,RelativeJEREC1 +,RelativeJEREC1 -,RelativeJEREC2 +,RelativeJEREC2 -,RelativeJERHF +,RelativeJERHF -,RelativePtBB +,RelativePtBB -,RelativePtEC1 +,RelativePtEC1 -,RelativePtEC2 +,RelativePtEC2 -,RelativePtHF +,RelativePtHF -,RelativeFSR +,RelativeFSR -,RelativeStatEC2 +,RelativeStatEC2 -,RelativeStatHF +,RelativeStatHF -,RelativeStatFSR +,RelativeStatFSR -,PileUpDataMC +,PileUpDataMC -,PileUpPtRef +,PileUpPtRef -,PileUpPtBB +,PileUpPtBB -,PileUpPtEC1 +,PileUpPtEC1 -,PileUpPtEC2 +,PileUpPtEC2 -,PileUpPtHF +,PileUpPtHF -
143.0,133.0,153.0,1304.0,1.0%,-1.0%,0.4319%,-0.4319%,0.6047%,-0.6047%,2.6%,-2.6%,0.11%,-0.11%,0.49%,-0.49%,0.0%,-0.0%,1.238%,-1.238%,0.2145%,-0.2145%,0.2541%,-0.2541%,0.4182%,-0.4182%,3.122%,-3.122%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.2453%,-0.2453%,0.2478%,-0.2478%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.09198%,-0.09198%,0.1548%,-0.1548%,0.559%,-0.559%,0.9395%,-0.9395%,0.06221%,-0.06221%,0.0%,-0.0%,0.0%,-0.0%
163.5,153.0,174.0,638.1,1.0%,-1.0%,0.75%,-0.75%,0.4261%,-0.4261%,2.6%,-2.6%,0.08%,-0.08%,0.4934%,-0.4934%,0.0%,-0.0%,1.248%,-1.248%,0.1461%,-0.1461%,0.1777%,-0.1777%,0.3352%,-0.3352%,2.871%,-2.871%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.2196%,-0.2196%,0.2147%,-0.2147%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.08873%,-0.08873%,0.1333%,-0.1333%,0.4288%,-0.4288%,0.7958%,-0.7958%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
185.0,174.0,196.0,329.4,1.0%,-1.0%,0.9294%,-0.9294%,0.5614%,-0.5614%,2.6%,-2.6%,0.07%,-0.07%,0.4967%,-0.4967%,0.0%,-0.0%,1.265%,-1.265%,0.0939%,-0.0939%,0.1288%,-0.1288%,0.2473%,-0.2473%,2.656%,-2.656%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1953%,-0.1953%,0.1977%,-0.1977%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.08956%,-0.08956%,0.1186%,-0.1186%,0.3246%,-0.3246%,0.6624%,-0.6624%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
208.0,196.0,220.0,176.1,1.0%,-1.0%,0.271%,-0.271%,0.4018%,-0.4018%,2.6%,-2.6%,0.22%,-0.22%,0.5047%,-0.5047%,0.0%,-0.0%,1.278%,-1.278%,0.07407%,-0.07407%,0.08254%,-0.08254%,0.1638%,-0.1638%,2.46%,-2.46%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.182%,-0.182%,0.1652%,-0.1652%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.09071%,-0.09071%,0.1106%,-0.1106%,0.2407%,-0.2407%,0.5334%,-0.5334%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
232.5,220.0,245.0,95.42,1.0%,-1.0%,0.3526%,-0.3526%,0.2725%,-0.2725%,2.6%,-2.6%,0.06%,-0.06%,0.4967%,-0.4967%,0.0592%,-0.0592%,1.289%,-1.289%,0.0%,-0.0%,0.0%,-0.0%,0.06821%,-0.06821%,2.294%,-2.294%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1593%,-0.1593%,0.1468%,-0.1468%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.093%,-0.093%,0.1091%,-0.1091%,0.182%,-0.182%,0.408%,-0.408%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
258.5,245.0,272.0,53.14,1.0%,-1.0%,0.3719%,-0.3719%,0.3264%,-0.3264%,2.6%,-2.6%,0.0%,-0.0%,0.5207%,-0.5207%,0.09533%,-0.09533%,1.319%,-1.319%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,2.134%,-2.134%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1547%,-0.1547%,0.1273%,-0.1273%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.09686%,-0.09686%,0.09969%,-0.09969%,0.1338%,-0.1338%,0.2878%,-0.2878%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
286.0,272.0,300.0,30.04,1.0%,-1.0%,0.2523%,-0.2523%,0.4001%,-0.4001%,2.6%,-2.6%,0.0%,-0.0%,0.5201%,-0.5201%,0.1191%,-0.1191%,1.331%,-1.331%,0.05618%,-0.05618%,0.05585%,-0.05585%,0.07496%,-0.07496%,1.988%,-1.988%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1404%,-0.1404%,0.1037%,-0.1037%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.09584%,-0.09584%,0.08493%,-0.08493%,0.07021%,-0.07021%,0.173%,-0.173%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
315.0,300.0,330.0,17.36,1.0%,-1.0%,0.3167%,-0.3167%,0.1999%,-0.1999%,2.6%,-2.6%,0.0%,-0.0%,0.5345%,-0.5345%,0.1654%,-0.1654%,1.353%,-1.353%,0.07155%,-0.07155%,0.07151%,-0.07151%,0.1582%,-0.1582%,1.866%,-1.866%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1268%,-0.1268%,0.08408%,-0.08408%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.101%,-0.101%,0.07845%,-0.07845%,0.0%,-0.0%,0.07179%,-0.07179%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
346.0,330.0,362.0,10.07,1.0%,-1.0%,0.3615%,-0.3615%,0.2875%,-0.2875%,2.6%,-2.6%,0.0%,-0.0%,0.5437%,-0.5437%,0.2123%,-0.2123%,1.388%,-1.388%,0.1002%,-0.1002%,0.0999%,-0.0999%,0.2256%,-0.2256%,1.744%,-1.744%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1135%,-0.1135%,0.06739%,-0.06739%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.09853%,-0.09853%,0.07189%,-0.07189%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
378.5,362.0,395.0,5.904,1.0%,-1.0%,0.253%,-0.253%,0.2919%,-0.2919%,2.6%,-2.6%,0.0%,-0.0%,0.5502%,-0.5502%,0.2319%,-0.2319%,1.389%,-1.389%,0.1288%,-0.1288%,0.1274%,-0.1274%,0.3046%,-0.3046%,1.605%,-1.605%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.09672%,-0.09672%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1017%,-0.1017%,0.07417%,-0.07417%,0.0%,-0.0%,0.1577%,-0.1577%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
