#: table_doi: 10.17182/hepdata.79410.v1/t12
#: name: Table 12
#: description: Statistical correlation matrix from unfolding
#: data_file: table_12.yaml
#: keyword observables: Covariance matrix element
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,,,0.0 <= YSTAR < 1.0
#: SQRT(S) [TeV],,,,,8
#: YBOOST,,,,,2.0 <= YBOOST < 3.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,Covariance matrix element
185.0,174.0,196.0,378.5,362.0,395.0,0
185.0,174.0,196.0,412.5,395.0,430.0,0
208.0,196.0,220.0,143.0,133.0,153.0,-0.04
208.0,196.0,220.0,163.5,153.0,174.0,-0.45
208.0,196.0,220.0,185.0,174.0,196.0,-0.19
208.0,196.0,220.0,208.0,196.0,220.0,1.0
208.0,196.0,220.0,232.5,220.0,245.0,0.13
208.0,196.0,220.0,258.5,245.0,272.0,-0.2
208.0,196.0,220.0,286.0,272.0,300.0,0
208.0,196.0,220.0,315.0,300.0,330.0,0.03
208.0,196.0,220.0,346.0,330.0,362.0,0
208.0,196.0,220.0,378.5,362.0,395.0,0
208.0,196.0,220.0,412.5,395.0,430.0,0
232.5,220.0,245.0,143.0,133.0,153.0,0.11
232.5,220.0,245.0,163.5,153.0,174.0,0
232.5,220.0,245.0,185.0,174.0,196.0,-0.38
232.5,220.0,245.0,208.0,196.0,220.0,0.13
232.5,220.0,245.0,232.5,220.0,245.0,1.0
232.5,220.0,245.0,258.5,245.0,272.0,0.05
232.5,220.0,245.0,286.0,272.0,300.0,-0.21
232.5,220.0,245.0,315.0,300.0,330.0,0
232.5,220.0,245.0,346.0,330.0,362.0,0
232.5,220.0,245.0,378.5,362.0,395.0,0
232.5,220.0,245.0,412.5,395.0,430.0,0
258.5,245.0,272.0,143.0,133.0,153.0,0
258.5,245.0,272.0,163.5,153.0,174.0,0.04
258.5,245.0,272.0,185.0,174.0,196.0,0.07
258.5,245.0,272.0,208.0,196.0,220.0,-0.2
258.5,245.0,272.0,232.5,220.0,245.0,0.05
258.5,245.0,272.0,258.5,245.0,272.0,1.0
258.5,245.0,272.0,286.0,272.0,300.0,-0.09
258.5,245.0,272.0,315.0,300.0,330.0,-0.18
258.5,245.0,272.0,346.0,330.0,362.0,0.03
258.5,245.0,272.0,378.5,362.0,395.0,0
