#: table_doi: 10.17182/hepdata.79410.v1/t11
#: name: Table 6
#: description: Triple-differential dijet cross section as a function of the average transverse momentum of the leading two jets with detailed experimental uncertainties (symmetrised).
#: data_file: table_6.yaml
#: keyword observables: D3SIG/DPTAVG/DYBOOST/DYSTAR
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,0.0 <= YSTAR < 1.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,2.0 <= YBOOST < 3.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,D3(SIG)/DPTAVG/DYBOOST/DYSTAR [pb/GeV],uncor +,uncor -,stat +,stat -,jererr +,jererr -,lumi +,lumi -,nongaussiantails +,nongaussiantails -,AbsoluteScale +,AbsoluteScale -,AbsoluteStat +,AbsoluteStat -,AbsoluteMPFBias +,AbsoluteMPFBias -,Fragmentation +,Fragmentation -,SinglePionECAL +,SinglePionECAL -,SinglePionHCAL +,SinglePionHCAL -,FlavorQCD +,FlavorQCD -,RelativeJEREC1 +,RelativeJEREC1 -,RelativeJEREC2 +,RelativeJEREC2 -,RelativeJERHF +,RelativeJERHF -,RelativePtBB +,RelativePtBB -,RelativePtEC1 +,RelativePtEC1 -,RelativePtEC2 +,RelativePtEC2 -,RelativePtHF +,RelativePtHF -,RelativeFSR +,RelativeFSR -,RelativeStatEC2 +,RelativeStatEC2 -,RelativeStatHF +,RelativeStatHF -,RelativeStatFSR +,RelativeStatFSR -,PileUpDataMC +,PileUpDataMC -,PileUpPtRef +,PileUpPtRef -,PileUpPtBB +,PileUpPtBB -,PileUpPtEC1 +,PileUpPtEC1 -,PileUpPtEC2 +,PileUpPtEC2 -,PileUpPtHF +,PileUpPtHF -
143.0 133.0 153.0 126.0 1.0  -1.0  1.301  -1.301  1.944  -1.944  2.6  -2.6  1.8  -1.8  0.6363  -0.6363  0.0  -0.0  1.657  -1.657  0.25  -0.25  0.2941  -0.2941  0.4978  -0.4978  4.036  -4.036  0.1684  -0.1684  0.4638  -0.4638  0.1198  -0.1198  0.06101  -0.06101  1.338  -1.338  1.235  -1.235  0.0  -0.0  0.7847  -0.7847  1.716  -1.716  0.08634  -0.08634  0.4061  -0.4061  0.2619  -0.2619  0.6769  -0.6769  0.0  -0.0  0.5464  -0.5464  0.487  -0.487  0.0  -0.0 
163.5 153.0 174.0 47.86 1.0  -1.0  2.621  -2.621  1.806  -1.806  2.6  -2.6  1.69  -1.69  0.725  -0.725  0.0  -0.0  1.782  -1.782  0.1858  -0.1858  0.2308  -0.2308  0.4274  -0.4274  3.957  -3.957  0.1955  -0.1955  0.5312  -0.5312  0.09476  -0.09476  0.06252  -0.06252  1.317  -1.317  1.119  -1.119  0.0  -0.0  0.8976  -0.8976  1.727  -1.727  0.06914  -0.06914  0.4557  -0.4557  0.266  -0.266  0.565  -0.565  0.0  -0.0  0.5162  -0.5162  0.4792  -0.4792  0.0  -0.0 
185.0 174.0 196.0 18.92 1.0  -1.0  3.758  -3.758  2.072  -2.072  2.6  -2.6  1.17  -1.17  0.7472  -0.7472  0.0  -0.0  1.962  -1.962  0.1095  -0.1095  0.1541  -0.1541  0.294  -0.294  3.881  -3.881  0.1888  -0.1888  0.5431  -0.5431  0.08299  -0.08299  0.05415  -0.05415  1.235  -1.235  0.9063  -0.9063  0.0  -0.0  0.9353  -0.9353  1.706  -1.706  0.05869  -0.05869  0.4539  -0.4539  0.218  -0.218  0.4215  -0.4215  0.0  -0.0  0.4454  -0.4454  0.4146  -0.4146  0.0  -0.0 
208.0 196.0 220.0 7.102 1.0  -1.0  1.365  -1.365  1.875  -1.875  2.6  -2.6  1.81  -1.81  0.8637  -0.8637  0.0  -0.0  2.178  -2.178  0.0726  -0.0726  0.08007  -0.08007  0.1636  -0.1636  3.985  -3.985  0.1965  -0.1965  0.6025  -0.6025  0.06496  -0.06496  0.05259  -0.05259  1.18  -1.18  0.7416  -0.7416  0.0  -0.0  1.04  -1.04  1.742  -1.742  0.0  -0.0  0.5031  -0.5031  0.2241  -0.2241  0.341  -0.341  0.0  -0.0  0.3905  -0.3905  0.435  -0.435  0.0  -0.0 
232.5 220.0 245.0 2.474 1.0  -1.0  2.155  -2.155  2.165  -2.165  2.6  -2.6  1.78  -1.78  0.9859  -0.9859  0.182  -0.182  2.467  -2.467  0.0  -0.0  0.0  -0.0  0.0  -0.0  4.058  -4.058  0.2592  -0.2592  0.6063  -0.6063  0.0  -0.0  0.05532  -0.05532  1.166  -1.166  0.5108  -0.5108  0.0  -0.0  1.188  -1.188  1.684  -1.684  0.0  -0.0  0.5657  -0.5657  0.2283  -0.2283  0.2867  -0.2867  0.0  -0.0  0.3871  -0.3871  0.3961  -0.3961  0.0  -0.0 
258.5 245.0 272.0 0.8486 1.0  -1.0  3.058  -3.058  1.861  -1.861  2.6  -2.6  2.38  -2.38  1.108  -1.108  0.2602  -0.2602  2.766  -2.766  0.08683  -0.08683  0.08564  -0.08564  0.1579  -0.1579  4.141  -4.141  0.2729  -0.2729  0.6111  -0.6111  0.0  -0.0  0.0  -0.0  1.031  -1.031  0.2101  -0.2101  0.0  -0.0  1.296  -1.296  1.609  -1.609  0.0  -0.0  0.5856  -0.5856  0.1933  -0.1933  0.1719  -0.1719  0.0  -0.0  0.3012  -0.3012  0.3539  -0.3539  0.0  -0.0 
286.0 272.0 300.0 0.2511 1.0  -1.0  2.847  -2.847  2.02  -2.02  2.6  -2.6  1.08  -1.08  1.19  -1.19  0.3651  -0.3651  2.951  -2.951  0.2092  -0.2092  0.2092  -0.2092  0.3709  -0.3709  4.041  -4.041  0.2829  -0.2829  0.6086  -0.6086  0.0  -0.0  0.0  -0.0  0.8109  -0.8109  0.1442  -0.1442  0.0  -0.0  1.396  -1.396  1.349  -1.349  0.0  -0.0  0.652  -0.652  0.2109  -0.2109  0.1025  -0.1025  0.0  -0.0  0.2353  -0.2353  0.3463  -0.3463  0.0  -0.0 
315.0 300.0 330.0 0.06703 1.0  -1.0  5.264  -5.264  2.681  -2.681  2.6  -2.6  0.64  -0.64  1.404  -1.404  0.5137  -0.5137  3.612  -3.612  0.2448  -0.2448  0.2448  -0.2448  0.6482  -0.6482  4.43  -4.43  0.4027  -0.4027  0.4899  -0.4899  0.0  -0.0  0.0  -0.0  0.6064  -0.6064  0.4801  -0.4801  0.0  -0.0  1.647  -1.647  1.226  -1.226  0.0  -0.0  0.727  -0.727  0.1509  -0.1509  0.0  -0.0  0.0  -0.0  0.1266  -0.1266  0.2388  -0.2388  0.0  -0.0 
346.0 330.0 362.0 0.01889 1.0  -1.0  9.072  -9.072  2.779  -2.779  2.6  -2.6  0.0  -0.0  1.732  -1.732  0.7124  -0.7124  4.275  -4.275  0.4223  -0.4223  0.4223  -0.4223  1.085  -1.085  4.735  -4.735  0.4491  -0.4491  0.4219  -0.4219  0.0  -0.0  0.05267  -0.05267  0.162  -0.162  0.7874  -0.7874  0.0  -0.0  2.015  -2.015  0.9898  -0.9898  0.0  -0.0  0.8018  -0.8018  0.2042  -0.2042  0.0  -0.0  0.05265  -0.05265  0.1148  -0.1148  0.2268  -0.2268  0.0  -0.0 
378.5 362.0 395.0 0.002968 1.0  -1.0  11.91  -11.91  3.736  -3.736  2.6  -2.6  0.0  -0.0  1.878  -1.878  0.8762  -0.8762  5.112  -5.112  0.7417  -0.7417  0.7417  -0.7417  1.28  -1.28  5.131  -5.131  0.8103  -0.8103  0.4393  -0.4393  0.0  -0.0  0.0  -0.0  0.4466  -0.4466  1.106  -1.106  0.0  -0.0  2.088  -2.088  0.8387  -0.8387  0.0  -0.0  0.9217  -0.9217  0.1743  -0.1743  0.0  -0.0  0.0  -0.0  0.05073  -0.05073  0.2524  -0.2524  0.0  -0.0 
