#: table_doi: 10.17182/hepdata.79410.v1/t5
#: name: Table 3
#: description: Triple-differential dijet cross section as a function of the average transverse momentum of the leading two jets with detailed experimental uncertainties (symmetrised).
#: data_file: table_3.yaml
#: keyword observables: D3SIG/DPTAVG/DYBOOST/DYSTAR
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,2.0 <= YSTAR < 3.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,D3(SIG)/DPTAVG/DYBOOST/DYSTAR [pb/GeV],uncor +,uncor -,stat +,stat -,jererr +,jererr -,lumi +,lumi -,nongaussiantails +,nongaussiantails -,AbsoluteScale +,AbsoluteScale -,AbsoluteStat +,AbsoluteStat -,AbsoluteMPFBias +,AbsoluteMPFBias -,Fragmentation +,Fragmentation -,SinglePionECAL +,SinglePionECAL -,SinglePionHCAL +,SinglePionHCAL -,FlavorQCD +,FlavorQCD -,RelativeJEREC1 +,RelativeJEREC1 -,RelativeJEREC2 +,RelativeJEREC2 -,RelativeJERHF +,RelativeJERHF -,RelativePtBB +,RelativePtBB -,RelativePtEC1 +,RelativePtEC1 -,RelativePtEC2 +,RelativePtEC2 -,RelativePtHF +,RelativePtHF -,RelativeFSR +,RelativeFSR -,RelativeStatEC2 +,RelativeStatEC2 -,RelativeStatHF +,RelativeStatHF -,RelativeStatFSR +,RelativeStatFSR -,PileUpDataMC +,PileUpDataMC -,PileUpPtRef +,PileUpPtRef -,PileUpPtBB +,PileUpPtBB -,PileUpPtEC1 +,PileUpPtEC1 -,PileUpPtEC2 +,PileUpPtEC2 -,PileUpPtHF +,PileUpPtHF -
143.0,133.0,153.0,39.11,1.0%,-1.0%,2.354%,-2.354%,1.934%,-1.934%,2.6%,-2.6%,1.46%,-1.46%,0.6414%,-0.6414%,0.0%,-0.0%,1.589%,-1.589%,0.2375%,-0.2375%,0.2979%,-0.2979%,0.4964%,-0.4964%,3.797%,-3.797%,0.1783%,-0.1783%,0.4667%,-0.4667%,0.1089%,-0.1089%,0.07424%,-0.07424%,1.353%,-1.353%,1.12%,-1.12%,0.0%,-0.0%,0.7881%,-0.7881%,1.603%,-1.603%,0.07877%,-0.07877%,0.4041%,-0.4041%,0.2493%,-0.2493%,0.6845%,-0.6845%,0.0%,-0.0%,0.567%,-0.567%,0.4858%,-0.4858%,0.0%,-0.0%
163.5,153.0,174.0,15.49,1.0%,-1.0%,4.662%,-4.662%,1.597%,-1.597%,2.6%,-2.6%,1.19%,-1.19%,0.6168%,-0.6168%,0.0%,-0.0%,1.639%,-1.639%,0.1609%,-0.1609%,0.2075%,-0.2075%,0.3817%,-0.3817%,3.649%,-3.649%,0.1728%,-0.1728%,0.4385%,-0.4385%,0.08008%,-0.08008%,0.07161%,-0.07161%,1.235%,-1.235%,1.006%,-1.006%,0.0%,-0.0%,0.781%,-0.781%,1.536%,-1.536%,0.06215%,-0.06215%,0.3823%,-0.3823%,0.2248%,-0.2248%,0.502%,-0.502%,0.0%,-0.0%,0.4597%,-0.4597%,0.3936%,-0.3936%,0.0%,-0.0%
185.0,174.0,196.0,5.749,1.0%,-1.0%,6.721%,-6.721%,1.618%,-1.618%,2.6%,-2.6%,1.62%,-1.62%,0.7259%,-0.7259%,0.0%,-0.0%,1.78%,-1.78%,0.12%,-0.12%,0.1536%,-0.1536%,0.2767%,-0.2767%,3.53%,-3.53%,0.182%,-0.182%,0.5461%,-0.5461%,0.08837%,-0.08837%,0.06145%,-0.06145%,1.167%,-1.167%,0.8402%,-0.8402%,0.0%,-0.0%,0.8955%,-0.8955%,1.575%,-1.575%,0.06796%,-0.06796%,0.4353%,-0.4353%,0.2118%,-0.2118%,0.4211%,-0.4211%,0.0%,-0.0%,0.4358%,-0.4358%,0.4172%,-0.4172%,0.0%,-0.0%
208.0,196.0,220.0,2.689,1.0%,-1.0%,2.191%,-2.191%,1.616%,-1.616%,2.6%,-2.6%,1.38%,-1.38%,0.6695%,-0.6695%,0.0%,-0.0%,1.74%,-1.74%,0.07024%,-0.07024%,0.07444%,-0.07444%,0.1523%,-0.1523%,3.216%,-3.216%,0.1527%,-0.1527%,0.4679%,-0.4679%,0.07058%,-0.07058%,0.05483%,-0.05483%,0.9284%,-0.9284%,0.5991%,-0.5991%,0.0%,-0.0%,0.8293%,-0.8293%,1.5%,-1.5%,0.05326%,-0.05326%,0.3935%,-0.3935%,0.1773%,-0.1773%,0.2849%,-0.2849%,0.0%,-0.0%,0.3184%,-0.3184%,0.351%,-0.351%,0.0%,-0.0%
232.5,220.0,245.0,1.138,1.0%,-1.0%,3.223%,-3.223%,1.353%,-1.353%,2.6%,-2.6%,1.68%,-1.68%,0.7574%,-0.7574%,0.09929%,-0.09929%,1.935%,-1.935%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,3.285%,-3.285%,0.1633%,-0.1633%,0.5356%,-0.5356%,0.0%,-0.0%,0.0%,-0.0%,0.8787%,-0.8787%,0.4666%,-0.4666%,0.0%,-0.0%,0.8788%,-0.8788%,1.586%,-1.586%,0.0%,-0.0%,0.4307%,-0.4307%,0.1812%,-0.1812%,0.2152%,-0.2152%,0.0%,-0.0%,0.2873%,-0.2873%,0.3391%,-0.3391%,0.0%,-0.0%
258.5,245.0,272.0,0.4543,1.0%,-1.0%,4.064%,-4.064%,1.286%,-1.286%,2.6%,-2.6%,0.31%,-0.31%,0.8239%,-0.8239%,0.204%,-0.204%,2.106%,-2.106%,0.08235%,-0.08235%,0.08049%,-0.08049%,0.1324%,-0.1324%,3.196%,-3.196%,0.2074%,-0.2074%,0.5293%,-0.5293%,0.0%,-0.0%,0.0%,-0.0%,0.7626%,-0.7626%,0.2714%,-0.2714%,0.0%,-0.0%,1.021%,-1.021%,1.438%,-1.438%,0.0%,-0.0%,0.4791%,-0.4791%,0.2058%,-0.2058%,0.1816%,-0.1816%,0.0%,-0.0%,0.2324%,-0.2324%,0.34%,-0.34%,0.0%,-0.0%
286.0,272.0,300.0,0.1875,1.0%,-1.0%,3.217%,-3.217%,1.307%,-1.307%,2.6%,-2.6%,0.0%,-0.0%,0.9187%,-0.9187%,0.2532%,-0.2532%,2.185%,-2.185%,0.1119%,-0.1119%,0.1119%,-0.1119%,0.2078%,-0.2078%,3.011%,-3.011%,0.2264%,-0.2264%,0.588%,-0.588%,0.0%,-0.0%,0.0%,-0.0%,0.6168%,-0.6168%,0.06366%,-0.06366%,0.0%,-0.0%,1.117%,-1.117%,1.375%,-1.375%,0.0%,-0.0%,0.4907%,-0.4907%,0.1474%,-0.1474%,0.09757%,-0.09757%,0.0%,-0.0%,0.1583%,-0.1583%,0.3054%,-0.3054%,0.0%,-0.0%
315.0,300.0,330.0,0.08166,1.0%,-1.0%,4.728%,-4.728%,1.365%,-1.365%,2.6%,-2.6%,0.0%,-0.0%,0.8731%,-0.8731%,0.3117%,-0.3117%,2.373%,-2.373%,0.1944%,-0.1944%,0.1944%,-0.1944%,0.4101%,-0.4101%,3.031%,-3.031%,0.2283%,-0.2283%,0.4535%,-0.4535%,0.0%,-0.0%,0.0%,-0.0%,0.4021%,-0.4021%,0.2057%,-0.2057%,0.0%,-0.0%,1.016%,-1.016%,1.258%,-1.258%,0.0%,-0.0%,0.5242%,-0.5242%,0.1382%,-0.1382%,0.0%,-0.0%,0.0%,-0.0%,0.132%,-0.132%,0.2189%,-0.2189%,0.0%,-0.0%
346.0,330.0,362.0,0.03022,1.0%,-1.0%,6.945%,-6.945%,1.185%,-1.185%,2.6%,-2.6%,0.0%,-0.0%,0.9434%,-0.9434%,0.4774%,-0.4774%,2.371%,-2.371%,0.2735%,-0.2735%,0.2735%,-0.2735%,0.5356%,-0.5356%,2.724%,-2.724%,0.2932%,-0.2932%,0.4633%,-0.4633%,0.0%,-0.0%,0.0%,-0.0%,0.1668%,-0.1668%,0.4579%,-0.4579%,0.0%,-0.0%,1.12%,-1.12%,1.086%,-1.086%,0.0%,-0.0%,0.5764%,-0.5764%,0.1349%,-0.1349%,0.0%,-0.0%,0.0%,-0.0%,0.07336%,-0.07336%,0.2233%,-0.2233%,0.0%,-0.0%
378.5,362.0,395.0,0.009612,1.0%,-1.0%,6.571%,-6.571%,1.262%,-1.262%,2.6%,-2.6%,0.0%,-0.0%,1.169%,-1.169%,0.2973%,-0.2973%,2.804%,-2.804%,0.166%,-0.166%,0.166%,-0.166%,0.7194%,-0.7194%,2.975%,-2.975%,0.2206%,-0.2206%,0.3694%,-0.3694%,0.0%,-0.0%,0.0%,-0.0%,0.0759%,-0.0759%,0.9378%,-0.9378%,0.0%,-0.0%,1.39%,-1.39%,1.139%,-1.139%,0.0%,-0.0%,0.3991%,-0.3991%,0.1166%,-0.1166%,0.05621%,-0.05621%,0.0%,-0.0%,0.06299%,-0.06299%,0.1324%,-0.1324%,0.0%,-0.0%
