     2.5         2.900e-5            0.85        0.828         5.70        4.29        7.28          1.26         -0.15          0.52          0.53          0.00      
      2.5         3.290e-5            0.75        0.816         3.99        3.27        5.36          1.13         -0.72          0.35          0.42          0.00      
      2.5         3.790e-5            0.65        0.896         6.91        4.76        9.20          3.70         -0.76         -0.05         -0.05          0.00      
      3.5         4.060e-5            0.85        0.809         6.13        4.17        7.57          1.11          0.96          0.33          0.35          0.00      
      3.5         4.600e-5            0.75        0.971         3.04        2.99        4.35          0.42         -0.63          0.28          0.35          0.00      
      3.5         5.310e-5            0.65        0.887         3.09        2.64        4.12          0.53         -0.17          0.21          0.20          0.00      
      3.5         8.000e-5            0.43        0.952         5.62        3.66        7.28          1.60         -2.00          0.31          0.44          1.07      
      5.0         5.800e-5            0.85        0.939         6.41        4.13        7.81          1.46          0.58          0.35          0.47          0.00      
      5.0         6.580e-5            0.75        1.002         2.84        2.87        4.15          0.74         -0.39          0.32          0.36          0.00      
      5.0         7.590e-5            0.65        1.094         1.71        2.29        3.08          1.02         -0.39          0.24          0.24          0.00      
      5.0         1.300e-4            0.38        1.050         3.14        2.24        4.27          1.40         -1.00          0.18          0.26          0.56      
      6.5         7.540e-5            0.85        1.133         6.23        4.15        7.55          0.02          0.89          0.29          0.34          0.00      
      6.5         8.550e-5            0.75        1.077         2.83        2.82        4.25          1.07          0.85          0.32          0.34          0.00      
      6.5         9.860e-5            0.65        1.134         2.09        2.31        3.29          0.89          0.45          0.24          0.23          0.00      
      6.5         1.300e-4            0.49        1.115         1.51        1.86        2.55          0.71         -0.15          0.17          0.18          0.40      
      6.5         2.000e-4            0.32        1.082         1.72        1.91        2.85          0.85         -0.89          0.03          0.05          0.07      
      6.5         3.200e-4            0.20        1.054         3.17        2.25        4.11          0.94         -0.94          0.00          0.00          0.16      
      8.5         9.860e-5            0.85        1.146         6.46        4.05        7.71          1.07         -0.04          0.37          0.35          0.00      
      8.5         1.118e-4            0.75        1.102         3.31        2.82        4.46          0.84          0.43          0.22          0.22          0.00      
      8.5         1.290e-4            0.65        1.200         1.69        2.22        3.04          1.11          0.38          0.21          0.21          0.00      
      8.5         2.000e-4            0.42        1.206         1.24        1.80        2.29          0.56          0.27          0.13          0.17          0.17      
      8.5         3.200e-4            0.26        1.118         1.38        1.82        2.42          0.80          0.03          0.00          0.00          0.04      
     12.0         1.392e-4            0.85        1.238         5.34        3.97        6.80          1.36          0.10          0.21          0.25          0.00      
     12.0         1.578e-4            0.75        1.313         3.41        2.82        4.47          0.45          0.29          0.23          0.26          0.00      
     12.0         1.821e-4            0.65        1.244         2.51        2.30        3.54          0.73          0.54          0.23          0.20          0.00      
     12.0         2.000e-4            0.59        1.258         1.67        2.20        2.98          0.94          0.52          0.17          0.19          0.00      
