#: table_doi: 10.17182/hepdata.89307.v1/t41
#: name: Table 41
#: description: Measured absolute differential cross section at parton level as a function of $y_{t}$.
#: data_file: d021-x01-y01.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: RE,,,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],,,13000.0
$y_{t}$ ,$y_{t}$  LOW,$y_{t}$  HIGH,\frac{d\sigma}{dX} [PB],stat +,stat -,sys +,sys -
-2.2,-2.6,-1.8,60.0026,1.17175,-1.17175,6.14237,-6.14237
-1.5750000000000002,-1.8,-1.35,131.967,1.37921,-1.37921,9.75978,-9.75978
-1.125,-1.35,-0.9,188.386,1.9326,-1.9326,13.1304,-13.1304
-0.675,-0.9,-0.45,227.428,2.15482,-2.15482,15.7261,-15.7261
-0.225,-0.45,0,245.169,2.30488,-2.30488,17.1774,-17.1774
0.225,0,0.45,247.354,2.26936,-2.26936,19.1451,-19.1451
0.675,0.45,0.9,232.557,2.09552,-2.09552,16.331,-16.331
1.125,0.9,1.35,184.441,1.78576,-1.78576,13.1025,-13.1025
1.5750000000000002,1.35,1.8,133.14,1.35818,-1.35818,10.3442,-10.3442
2.2,1.8,2.6,62.9843,1.15752,-1.15752,5.61076,-5.61076

