     2.06   0.98524006       0.11217846E-01
     2.19    2.8872074       0.14173784E-01
     2.31    4.6871531       0.14781364E-01
     2.44    6.2596214       0.15756598E-01
     2.56    7.6173499       0.16550477E-01
     2.69    8.7039872       0.17340232E-01
     2.81    9.3670099       0.17995657E-01
     2.94    9.7022467       0.18426313E-01
     3.06    9.5711262       0.17952615E-01
     3.19    8.9407698       0.16639263E-01
     3.31    7.6590585       0.14934000E-01
     3.44    5.9706517       0.13045146E-01
     3.56    4.2900084       0.10953525E-01
     3.69    2.8160873       0.83845694E-02
     3.81    1.6329399       0.61339246E-02
     3.94   0.81324063       0.39894948E-02
     4.13   0.41616004       0.22123856E-02
