!
! Statistical correlation matrix for rapidity bin 2.0 < |y| < 2.5
!
&StatCorr
  Name1 = 'CMS inclusive jets 8 TeV, 2.0 < |y| < 2.5'
  Name2 = 'CMS inclusive jets 8 TeV, 2.0 < |y| < 2.5'

  NIdColumns1 = 2
  NIdColumns2 = 2

  IdColumns1 = 'ylow', 'ptlow'
  IdColumns2 = 'ylow', 'ptlow'

  NCorr = 576

  MatrixType = 'Statistical correlations'
&End
  2.0  153  2.0  220    -0.2296
  2.0  153  2.0  245     0.1151
  2.0  153  2.0  272    0.02953
  2.0  153  2.0  300   -0.01186
  2.0  153  2.0  330  -0.004906
  2.0  153  2.0  362 -0.0003143
  2.0  153  2.0  395  0.0002027
  2.0  153  2.0  430  4.903e-05
  2.0  153  2.0  468  4.508e-06
  2.0  153  2.0  507  4.083e-07
  2.0  153  2.0  548 -3.492e-08
  2.0  153  2.0  592  4.175e-09
  2.0  153  2.0  638  1.581e-09
  2.0  153  2.0  686  8.416e-11
  2.0  153  2.0  737  2.003e-12
  2.0  153  2.0  790   6.97e-15
*  2.0  153  2.0  846  3.688e-17
  2.0  174  2.0   74     0.0198
  2.0  174  2.0   84    0.05352
  2.0  174  2.0   97    0.04185
  2.0  174  2.0  114   -0.04367
  2.0  174  2.0  133    -0.2538
  2.0  174  2.0  153      0.276
  2.0  174  2.0  174          1
  2.0  174  2.0  196     0.3784
  2.0  174  2.0  220    -0.5117
  2.0  174  2.0  245    -0.2071
  2.0  174  2.0  272    0.06805
  2.0  174  2.0  300    0.06159
  2.0  174  2.0  330 -0.0001087
  2.0  174  2.0  362  -0.003827
  2.0  174  2.0  395  -0.001826
  2.0  174  2.0  430 -0.0002488
  2.0  174  2.0  468 -2.572e-05
  2.0  174  2.0  507 -9.536e-06
  2.0  174  2.0  548 -7.964e-07
  2.0  174  2.0  592 -2.609e-08
  2.0  174  2.0  638  4.941e-09
  2.0  174  2.0  686  4.122e-10
  2.0  174  2.0  737  1.294e-11
  2.0  174  2.0  790  5.754e-14
*  2.0  174  2.0  846  3.853e-16
  2.0  196  2.0   74  -0.008223
  2.0  196  2.0   84   0.003038
  2.0  196  2.0   97    0.04695
  2.0  196  2.0  114    0.06976
  2.0  196  2.0  133   -0.07107
  2.0  196  2.0  153    -0.2558
  2.0  196  2.0  174     0.3784
  2.0  196  2.0  196          1
  2.0  196  2.0  220     0.1651
  2.0  196  2.0  245    -0.5984
  2.0  196  2.0  272  -0.001385
  2.0  196  2.0  300     0.1319
  2.0  196  2.0  330    0.01735
  2.0  196  2.0  362  -0.005504
  2.0  196  2.0  395   -0.00403
  2.0  196  2.0  430 -0.0005782
  2.0  196  2.0  468 -4.075e-05
  2.0  196  2.0  507 -5.098e-06
  2.0  196  2.0  548 -4.986e-07
  2.0  196  2.0  592 -1.015e-07
  2.0  196  2.0  638 -1.103e-09
  2.0  196  2.0  686  9.249e-10
  2.0  196  2.0  737  5.535e-11
  2.0  196  2.0  790  3.574e-13
*  2.0  196  2.0  846  3.111e-15
  2.0  220  2.0   74   -0.01231
  2.0  220  2.0   84   -0.01261
  2.0  220  2.0   97    0.02022
  2.0  220  2.0  114    0.06054
  2.0  220  2.0  133     0.1193
  2.0  220  2.0  153    -0.2296
  2.0  220  2.0  174    -0.5117
  2.0  220  2.0  196     0.1651
  2.0  220  2.0  220          1
  2.0  220  2.0  245    0.09597
  2.0  220  2.0  272    -0.2537
  2.0  220  2.0  300   -0.06263
  2.0  220  2.0  330    0.06185
  2.0  220  2.0  362   0.007156
  2.0  220  2.0  395  -0.006739
  2.0  220  2.0  430  -0.001501
  2.0  220  2.0  468  7.282e-05
  2.0  220  2.0  507  0.0002092
  2.0  220  2.0  548  1.896e-05
  2.0  220  2.0  592 -2.036e-06
  2.0  220  2.0  638 -4.945e-07
  2.0  220  2.0  686 -9.965e-09
  2.0  220  2.0  737  5.521e-10
  2.0  220  2.0  790  6.621e-12
*  2.0  220  2.0  846  7.492e-14
  2.0  245  2.0   74   -0.00115
  2.0  245  2.0   84  -0.003745
  2.0  245  2.0   97  -0.008502
  2.0  245  2.0  114  -0.008411
  2.0  245  2.0  133    0.03757
  2.0  245  2.0  153     0.1151
  2.0  245  2.0  174    -0.2071
  2.0  245  2.0  196    -0.5984
  2.0  245  2.0  220    0.09597
  2.0  245  2.0  245          1
  2.0  245  2.0  272     0.2431
  2.0  245  2.0  300    -0.3225
  2.0  245  2.0  330   -0.07017
  2.0  245  2.0  362    0.03487
  2.0  245  2.0  395    0.01573
  2.0  245  2.0  430  -0.002263
  2.0  245  2.0  468 -0.0009432
  2.0  245  2.0  507 -0.0003039
  2.0  245  2.0  548 -1.165e-05
  2.0  245  2.0  592 -9.934e-06
  2.0  245  2.0  638 -2.417e-06
  2.0  245  2.0  686 -9.475e-08
  2.0  245  2.0  737  4.743e-10
  2.0  245  2.0  790  2.272e-11
*  2.0  245  2.0  846  3.363e-13
  2.0  272  2.0   74  0.0002787
  2.0  272  2.0   84 -0.0005139
  2.0  272  2.0   97  -0.004182
  2.0  272  2.0  114  -0.006846
  2.0  272  2.0  133  -0.007237
  2.0  272  2.0  153    0.02953
  2.0  272  2.0  174    0.06805
  2.0  272  2.0  196  -0.001385
  2.0  272  2.0  220    -0.2537
  2.0  272  2.0  245     0.2431
  2.0  272  2.0  272          1
  2.0  272  2.0  300     0.1396
  2.0  272  2.0  330    -0.3303
  2.0  272  2.0  362  -0.004777
  2.0  272  2.0  395    0.06161
  2.0  272  2.0  430   0.005211
  2.0  272  2.0  468  -0.003172
  2.0  272  2.0  507  -0.002774
  2.0  272  2.0  548 -8.444e-05
  2.0  272  2.0  592  3.145e-05
  2.0  272  2.0  638  1.967e-06
  2.0  272  2.0  686 -1.192e-07
  2.0  272  2.0  737 -4.576e-09
  2.0  272  2.0  790  1.017e-11
*  2.0  272  2.0  846  6.348e-13
  2.0  300  2.0   74  0.0001963
  2.0  300  2.0   84 -2.674e-05
  2.0  300  2.0   97  -0.001536
  2.0  300  2.0  114  -0.002636
  2.0  300  2.0  133   -0.00851
  2.0  300  2.0  153   -0.01186
  2.0  300  2.0  174    0.06159
  2.0  300  2.0  196     0.1319
  2.0  300  2.0  220   -0.06263
  2.0  300  2.0  245    -0.3225
  2.0  300  2.0  272     0.1396
  2.0  300  2.0  300          1
  2.0  300  2.0  330     0.2037
  2.0  300  2.0  362    -0.2589
  2.0  300  2.0  395   -0.04739
  2.0  300  2.0  430     0.0585
  2.0  300  2.0  468   0.003243
  2.0  300  2.0  507   -0.01301
  2.0  300  2.0  548  -0.001803
  2.0  300  2.0  592  0.0002646
  2.0  300  2.0  638  7.331e-05
  2.0  300  2.0  686  1.548e-06
  2.0  300  2.0  737 -1.004e-07
  2.0  300  2.0  790 -1.163e-09
*  2.0  300  2.0  846 -1.121e-11
  2.0  330  2.0   74  2.659e-05
  2.0  330  2.0   84  2.599e-06
  2.0  330  2.0   97 -0.0001852
  2.0  330  2.0  114 -0.0002562
  2.0  330  2.0  133 -0.0007481
  2.0  330  2.0  153  -0.004906
  2.0  330  2.0  174 -0.0001087
  2.0  330  2.0  196    0.01735
  2.0  330  2.0  220    0.06185
  2.0  330  2.0  245   -0.07017
  2.0  330  2.0  272    -0.3303
  2.0  330  2.0  300     0.2037
  2.0  330  2.0  330          1
  2.0  330  2.0  362     0.2428
  2.0  330  2.0  395    -0.2939
  2.0  330  2.0  430   -0.04432
  2.0  330  2.0  468    0.03395
  2.0  330  2.0  507    0.01733
  2.0  330  2.0  548  -0.005878
  2.0  330  2.0  592  -0.001294
  2.0  330  2.0  638 -3.779e-05
  2.0  330  2.0  686 -5.429e-07
  2.0  330  2.0  737 -4.095e-07
  2.0  330  2.0  790 -5.378e-09
*  2.0  330  2.0  846 -7.353e-11
  2.0  362  2.0   74  2.163e-06
  2.0  362  2.0   84 -1.169e-06
  2.0  362  2.0   97 -2.179e-05
  2.0  362  2.0  114 -1.859e-05
  2.0  362  2.0  133  0.0002222
  2.0  362  2.0  153 -0.0003143
  2.0  362  2.0  174  -0.003827
  2.0  362  2.0  196  -0.005504
  2.0  362  2.0  220   0.007156
  2.0  362  2.0  245    0.03487
  2.0  362  2.0  272  -0.004777
