# Table 19 from https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/TOPQ-2015-05/
5.4 ; 3.8 ; 6.8 ; 13.0 ; 19.0 ; # Data statistics
0.7 ; 0.5 ; 0.9 ; 1.6 ; 2.4 ; # Monte Carlo statistics
+2.0 , -2.0 ; +0.9 , -0.9 ; +1.5 , -1.5 ; +0.9 , -0.9 ; +1.7 , -1.7 ; # Unfolding
+4.6 , -4.6 ; +2.6 , -2.6 ; +3.0 , -3.0 ; +2.7 , -2.7 ; +4.0 , -4.0 ; # Background normalisation
+0.8 , -0.8 ; +0.5 , -0.5 ; +1.0 , -1.0 ; +1.3 , -1.3 ; +0.4 , -0.4 ; # Background modelling
+1.9 , -1.9 ; +1.9 , -1.9 ; +2.0 , -1.9 ; +1.9 , -1.9 ; +2.0 , -2.1 ; # Lepton reconstruction
+1.1 , -1.1 ; +1.5 , -1.5 ; +0.8 , -0.8 ; +0.9 , -0.9 ; +2.9 , -2.9 ; # Jet reconstruction
+2.0 , -1.7 ; +2.2 , -2.6 ; +1.9 , -2.2 ; +6.0 , -2.4 ; +1.0 , -5.6 ; # Jet energy scale
+1.2 , -1.2 ; +1.2 , -1.2 ; +1.2 , -1.2 ; +1.4 , -1.4 ; +1.4 , -1.4 ; # Flavour tagging
+0.6 , -0.3 ; +0.2 , -0.2 ; +0.6 , -1.0 ; +1.3 , -0.0 ; +0.0 , -1.9 ; # E_T^miss modelling
+0.9 , -0.9 ; +0.9 , -0.9 ; +0.9 , -0.9 ; +0.9 , -0.9 ; +0.9 , -0.9 ; # b/bbar efficiency
+0.8 , -0.9 ; +0.2 , -0.1 ; +0.4 , -0.4 ; +1.5 , -1.5 ; +1.1 , -1.1 ; # PDF
+2.2 , -2.2 ; +3.7 , -3.7 ; +8.9 , -8.9 ; +3.8 , -3.8 ; +2.8 , -2.8 ; # tq (tbarq) NLO matching
+0.9 , -0.9 ; +1.6 , -1.6 ; +3.1 , -3.1 ; +0.8 , -0.8 ; +1.7 , -1.7 ; # tq (tbarq) parton shower
+2.0 , -4.9 ; +2.6 , -0.0 ; +0.4 , -3.9 ; +0.0 , -3.6 ; +3.8 , -1.9 ; # tq (tbarq) scale variations
+0.4 , -0.4 ; +0.5 , -0.5 ; +2.3 , -2.3 ; +3.0 , -3.0 ; +6.6 , -6.6 ; # ttbar NLO matching
+0.1 , -0.1 ; +0.4 , -0.4 ; +0.1 , -0.1 ; +1.6 , -1.6 ; +4.3 , -4.3 ; # ttbar parton shower
+0.7 , -0.0 ; +0.0 , -1.4 ; +1.8 , -0.0 ; +3.5 , -0.0 ; +0.0 , -3.4 ; # ttbar scale variations
1.9 ; 1.9 ; 1.9 ; 1.9 ; 1.9 ; # Luminosity
