THPREDICTIONS POSDYUBS  NNPDF30_nlo_as_0118
0    0.0531676           0.164759            
1    0.233585            0.181081            
2    0.432833            0.270197            
3    0.326888            0.259905            
4    0.219696            0.14455             
5    0.421192            0.264891            
6    0.720817            0.230857            
7    0.918673            0.196505            
8    0.982889            0.188597            
9    0.848329            0.153294            
10   0.460322            0.112013            
11   0.296635            0.0846915           
12   0.154662            0.0619859           
13   0.10466             0.0565007           
14   0.0676566           0.0441097           
15   0.0294804           0.0545265           
16   0.0301619           0.0725435           
17   -0.0421807          0.0743081           
18   0.0234421           0.0543912           
19   0.033518            0.0524225           
