THPREDICTIONS NMC  NNPDF30_nlo_as_0118
0    0.271983            0.0104328           
1    0.286111            0.0105386           
2    0.29407             0.00958113          
3    0.297556            0.0096505           
4    0.307283            0.00938665          
5    0.311055            0.00916456          
6    0.304874            0.0089076           
7    0.318518            0.0082848           
8    0.327509            0.0078851           
9    0.3331              0.00753526          
10   0.311216            0.00789291          
11   0.325172            0.00724378          
12   0.337144            0.00683784          
13   0.344385            0.0066032           
14   0.345505            0.00647286          
15   0.317731            0.00746055          
16   0.32979             0.0069525           
17   0.342441            0.00642495          
18   0.351624            0.00602924          
19   0.35625             0.00577904          
20   0.358546            0.00559631          
21   0.325744            0.00757305          
22   0.335556            0.0068805           
23   0.345828            0.00623316          
24   0.354018            0.00574198          
25   0.358796            0.0054509           
26   0.361371            0.00526135          
27   0.362832            0.00511136          
28   0.331777            0.00697491          
29   0.339215            0.00636645          
30   0.347683            0.00575371          
31   0.35425             0.00531158          
32   0.35806             0.00504328          
33   0.360431            0.00484773          
34   0.362046            0.00472882          
35   0.343491            0.00569163          
36   0.349974            0.0051849           
37   0.354629            0.0048793           
38   0.357183            0.00471804          
39   0.358758            0.00460534          
40   0.359851            0.00450241          
41   0.34773             0.00593222          
42   0.353053            0.00464411          
43   0.355209            0.00436725          
44   0.356027            0.00421223          
45   0.356271            0.00410614          
46   0.356063            0.00401756          
47   0.352925            0.00450581          
48   0.351136            0.00436884          
49   0.349796            0.00420217          
50   0.348193            0.00408807          
51   0.346584            0.00398859          
52   0.34571             0.00389052          
53   0.3465              0.00467474          
54   0.33898             0.00481069          
55   0.333916            0.00472348          
56   0.331002            0.00458352          
57   0.326941            0.00441393          
58   0.326484            0.00429748          
59   0.318127            0.00428826          
60   0.310226            0.00413677          
61   0.305072            0.00397384          
62   0.29754             0.00377835          
63   0.296696            0.00373968          
64   0.282299            0.00383823          
65   0.26181             0.00390241          
66   0.247885            0.00365846          
67   0.246375            0.00359014          
68   0.220116            0.00361041          
69   0.180772            0.00293848          
70   0.158148            0.00266389          
71   0.289398            0.0100884           
72   0.301305            0.00980271          
73   0.310116            0.00954903          
74   0.319629            0.0089516           
75   0.328663            0.00874953          
76   0.325431            0.00812508          
77   0.338596            0.00766365          
78   0.347537            0.00729506          
79   0.342689            0.00675949          
80   0.353876            0.00645525          
81   0.358999            0.00628309          
82   0.361712            0.00619302          
83   0.345163            0.00636407          
84   0.355633            0.00599393          
85   0.362323            0.00574435          
86   0.366369            0.00554957          
87   0.368781            0.00535853          
88   0.347508            0.00615735          
89   0.3557              0.00571062          
90   0.36127             0.00543273          
91   0.364998            0.0052375           
92   0.368281            0.00504433          
93   0.369862            0.00486888          
94   0.349414            0.00561982          
95   0.355133            0.0052572           
96   0.359216            0.00500996          
97   0.362084            0.00483604          
98   0.364758            0.00466237          
99   0.36662             0.00447932          
100  0.35119             0.00512413          
101  0.354977            0.00488621          
102  0.357741            0.00471919          
103  0.359611            0.0046015           
104  0.36115             0.00448911          
105  0.362529            0.00435617          
106  0.362764            0.00425857          
107  0.355353            0.00440856          
108  0.356133            0.0042336           
109  0.356521            0.00411633          
110  0.356544            0.00400901          
111  0.356425            0.003891            
112  0.355419            0.00381759          
113  0.350694            0.00433499          
114  0.3481              0.00419122          
115  0.347174            0.00408644          
116  0.345564            0.00398744          
117  0.344117            0.00387935          
118  0.341945            0.00379888          
119  0.332423            0.00468048          
120  0.328857            0.00451548          
121  0.325274            0.00435107          
122  0.323238            0.00425135          
123  0.31952             0.00410911          
124  0.302139            0.00389433          
125  0.294159            0.00371493          
