THPREDICTIONS HERACOMBNCEP920  NNPDF30_nlo_as_0118
0    0.666418            0.652105            
1    0.639908            0.542898            
2    0.554045            0.190204            
3    0.5438              0.0586351           
4    0.533108            0.0456009           
5    0.502776            0.0374559           
6    0.489876            0.0346879           
7    0.434356            0.0228848           
8    0.376568            0.0139891           
9    0.330226            0.00972808          
10   0.710553            0.535519            
11   0.684741            0.422893            
12   0.633028            0.145401            
13   0.620262            0.0643509           
14   0.596617            0.0369515           
15   0.561709            0.0307978           
16   0.530075            0.0260632           
17   0.498351            0.021715            
18   0.468667            0.0176398           
19   0.441011            0.0143454           
20   0.428671            0.0129908           
21   0.373274            0.00901759          
22   0.325346            0.00905184          
23   0.751961            0.272697            
24   0.741371            0.141158            
25   0.724454            0.0437257           
26   0.692278            0.0276233           
27   0.64974             0.023203            
28   0.611303            0.0200203           
29   0.57196             0.0171358           
30   0.535223            0.0143424           
31   0.484612            0.0110645           
32   0.412574            0.00826874          
33   0.348713            0.00849021          
34   0.81575             0.096246            
35   0.828496            0.0568497           
36   0.832137            0.0437379           
37   0.829968            0.0306809           
38   0.796934            0.0200916           
39   0.747943            0.0164719           
40   0.701613            0.0145857           
41   0.652831            0.0131173           
42   0.608001            0.0114685           
43   0.564545            0.0100931           
44   0.523064            0.00891766          
45   0.489132            0.00778069          
46   0.424937            0.00788228          
47   0.360328            0.00789753          
48   0.890466            0.0373112           
49   0.898194            0.0324224           
50   0.903815            0.0287644           
51   0.909329            0.0244942           
52   0.91006             0.0234614           
53   0.891423            0.0159402           
54   0.838681            0.0120319           
55   0.785483            0.0108321           
56   0.728121            0.0102804           
57   0.675203            0.00943325          
58   0.623244            0.00872227          
59   0.57436             0.00791407          
60   0.533615            0.00716261          
61   0.423793            0.0076112           
62   0.961633            0.0224872           
63   0.976738            0.0194144           
64   0.979718            0.0185536           
65   0.983116            0.0167671           
66   0.982869            0.0157566           
67   0.978702            0.0143472           
68   0.932367            0.0100892           
69   0.873078            0.00872319          
70   0.807519            0.00842723          
71   0.745561            0.00800834          
72   0.684717            0.00771042          
73   0.62709             0.00716758          
74   0.579693            0.00665914          
75   0.531561            0.00672579          
76   0.417428            0.00716472          
77   1.06255             0.0153474           
78   1.0726              0.0148569           
79   1.07976             0.0144457           
80   1.08589             0.0137961           
81   1.08642             0.013564            
82   1.07163             0.0117954           
83   1.01186             0.00944318          
84   0.935289            0.00798913          
85   0.857941            0.00719889          
86   0.78262             0.00688167          
87   0.710647            0.00646804          
88   0.652069            0.00611648          
89   0.592329            0.00618463          
90   0.540979            0.00637646          
91   0.450848            0.00659852          
92   0.422239            0.0063995           
93   1.13415             0.0140564           
94   1.14511             0.0141587           
95   1.15276             0.0142162           
96   1.15886             0.014136            
97   1.15917             0.0140555           
98   1.15764             0.0138111           
99   1.11701             0.0118692           
100  1.03499             0.00924055          
101  0.94799             0.00761446          
102  0.860883            0.00680932          
103  0.775717            0.00625448          
104  0.708544            0.00587423          
105  0.639637            0.0058701           
106  0.580203            0.00601351          
107  0.442227            0.00600361          
108  1.10272             0.0103647           
109  1.00843             0.00817525          
110  0.913313            0.00696124          
111  0.820539            0.00623862          
112  0.745117            0.00578697          
113  0.606451            0.00581222          
114  0.454299            0.00578399          
115  1.22756             0.0148987           
116  1.24627             0.0153278           
117  1.24814             0.0151953           
118  1.24224             0.0148863           
119  1.17405             0.0117489           
120  1.07489             0.00901696          
121  0.970616            0.00729185          
122  0.869842            0.00632679          
123  0.786766            0.00575571          
124  0.704613            0.00558135          
125  0.634568            0.00562743          
126  0.468322            0.0055525           
127  1.27708             0.0155557           
128  1.29204             0.0158691           
129  1.29334             0.0155995           
130  1.25751             0.0133872           
131  1.15763             0.0101907           
132  1.04405             0.00787055          
133  0.931827            0.00656012          
134  0.839446            0.00579942          
135  0.748654            0.00547097          
136  0.669793            0.00544232          
137  0.596364            0.00560762          
138  0.485219            0.00530082          
139  1.31003             0.0158991           
140  1.32656             0.0160212           
141  1.33058             0.0156371           
142  1.31385             0.0143296           
143  1.22393             0.0111701           
144  1.10465             0.008431            
145  0.983608            0.00683039          
146  0.883357            0.0058974           
147  0.784734            0.00542774          
148  0.699535            0.00532321          
149  0.620075            0.00545659          
150  0.499197            0.00511655          
151  1.36059             0.0156767           
152  1.36226             0.0152579           
153  1.35744             0.0148125           
154  1.34141             0.0140007           
155  1.29045             0.0121608           
156  1.25038             0.0109943           
157  1.1689              0.00907956          
158  1.04041             0.00718384          
159  0.930655            0.0060521           
160  0.82404             0.00542024          
161  0.731953            0.0052277           
162  0.645549            0.00531594          
163  0.569328            0.00519854          
164  0.463593            0.00444789          
165  1.3705              0.0152001           
166  1.38251             0.0149332           
167  1.37741             0.0142771           
168  1.34953             0.0129945           
169  1.23324             0.00974066          
170  1.09875             0.00758421          
171  0.979922            0.00625659          
172  0.864368            0.00545288          
173  0.764744            0.00516486          
174  0.671368            0.00519743          
175  0.589117            0.00504966          
176  0.528897            0.00477414          
177  0.474138            0.00430606          
178  1.3987              0.0139205           
179  1.39719             0.0135398           
180  1.39296             0.0132124           
181  1.37198             0.0122776           
182  1.35906             0.0118395           
183  1.31046             0.010515            
184  1.24814             0.00928066          
185  1.1706              0.00809833          
186  1.04235             0.0065565           
187  0.915887            0.00554361          
188  0.806143            0.00513195          
189  0.704108            0.00508515          
190  0.613705            0.00489301          
191  0.547361            0.00459897          
192  0.48675             0.00415321          
193  0.398243            0.0041311           
194  1.40703             0.0127368           
195  1.40444             0.0123917           
196  1.39374             0.0118492           
197  1.369               0.0110457           
198  1.33591             0.0102624           
199  1.28705             0.00936841          
200  1.23643             0.00857109          
201  1.10227             0.0068725           
202  0.965162            0.00567564          
203  0.84622             0.00514363          
204  0.735412            0.00501722          
205  0.636673            0.00477584          
206  0.564764            0.00446097          
207  0.498648            0.00402441          
208  0.447417            0.00391591          
209  1.3975              0.0111924           
210  1.39176             0.0108917           
211  1.37997             0.010505            
212  1.34935             0.00981453          
213  1.30441             0.00903859          
214  1.25974             0.00838873          
215  1.16769             0.0072348           
216  1.02053             0.00586139          
217  0.891376            0.00520086          
218  0.769991            0.00498489          
219  0.66298             0.0046764           
220  0.583748            0.00433652          
221  0.511498            0.00390242          
222  0.455059            0.00378257          
223  0.360799            0.00336601          
224  1.38886             0.0105657           
225  1.38239             0.0102772           
226  1.3695              0.00992237          
227  1.34416             0.00941762          
228  1.33215             0.00920918          
229  1.20057             0.00741875          
230  1.12881             0.00662291          
231  1.0499              0.00597329          
232  0.914822            0.00524539          
233  0.788696            0.00498467          
234  0.676267            0.00463918          
235  0.593874            0.00428095          
236  0.518089            0.00384745          
237  0.459088            0.00371912          
238  1.35667             0.00931232          
239  1.32716             0.00878157          
240  1.24726             0.00767196          
241  1.09486             0.00615807          
242  0.953242            0.0053371           
243  0.818093            0.00500501          
244  0.698032            0.00459734          
245  0.60949             0.00420888          
246  0.5288              0.00376674          
247  0.465321            0.00362692          
248  0.409838            0.00380307          
249  0.324469            0.00324407          
250  1.3243              0.00853891          
251  1.31388             0.00832628          
252  1.2968              0.00804504          
253  1.28258             0.00784221          
254  1.26757             0.00765824          
255  1.19687             0.00681801          
256  1.14258             0.00636315          
