THPREDICTIONS NTVNUDMN  NNPDF30_nlo_as_0118
0    0                   0                   
1    12.1817             1.60973             
2    12.3563             1.42113             
3    9.44766             1.41244             
4    4.50262             0.562993            
5    9.3114              2.37071             
6    13.0224             1.72465             
7    13.1023             1.36203             
8    9.78013             1.20945             
9    4.39542             0.544688            
10   9.98909             2.27849             
11   13.0115             1.63397             
12   12.9935             1.24916             
13   9.68737             1.14498             
14   4.30972             0.526003            
15   13.1691             2.58852             
16   15.2629             1.75284             
17   14.3243             1.35047             
18   10.314              1.19647             
19   4.47827             0.546067            
20   16.7259             2.08309             
21   16.0641             1.6249              
22   14.4273             1.20736             
23   10.211              1.11524             
24   4.34742             0.497556            
25   17.2372             2.20315             
26   15.7656             1.59374             
27   14.0823             1.14522             
28   9.93743             1.07595             
29   4.22944             0.468635            
30   17.611              2.27671             
31   17.0337             1.67928             
32   15.0758             1.25791             
33   10.567              1.14654             
34   4.45845             0.52001             
35   20.7284             2.29022             
36   17.4928             1.61863             
37   14.9401             1.15386             
38   10.2897             1.08155             
39   4.29223             0.470748            
40   20.6823             2.40469             
41   16.9845             1.58466             
42   14.4646             1.10252             
43   9.94699             1.04603             
44   4.15325             0.450757            
