THPREDICTIONS LHCBZ940PB  NNPDF30_nlo_as_0118
0    13212.7             148.796             
1    36758.1             455.299             
2    53997.3             759.808             
3    61276.8             966.01              
4    56677.6             972.675             
5    38772.9             692.687             
6    17750.2             366.639             
7    4776.24             208.817             
8    567.217             73.7101             
