THPREDICTIONS HERA1NCEM  NNPDF30_nlo_as_0118
0    1.35945             0.00931225          
1    1.25223             0.00776399          
2    1.32971             0.00860345          
3    1.28876             0.00792463          
4    1.14493             0.006399            
5    1.29331             0.00787671          
6    1.17499             0.00652335          
7    1.0264              0.00554019          
8    0.876722            0.00512829          
9    1.23769             0.00701514          
10   1.19716             0.00658592          
11   1.06046             0.00564804          
12   0.906451            0.00519181          
13   0.764318            0.00449609          
14   0.658504            0.00397535          
15   0.560835            0.00351275          
16   0.484584            0.0033578           
17   0.41808             0.00339577          
18   0.31894             0.00309564          
19   1.18756             0.00645995          
20   1.08079             0.00570244          
21   0.928015            0.0052417           
22   0.781008            0.00450934          
23   0.670637            0.00395929          
24   0.568522            0.0034733           
25   0.48915             0.00330996          
26   0.41988             0.00334615          
27   0.35985             0.00303971          
28   0.317138            0.00305898          
29   0.259965            0.00278085          
30   0.143208            0.00198232          
31   1.14725             0.00612567          
32   1.08963             0.00570718          
33   0.943626            0.00527672          
34   0.794094            0.00452411          
35   0.680392            0.00394997          
36   0.574776            0.00344405          
37   0.492778            0.0032747           
38   0.421317            0.00330865          
39   0.359477            0.00301376          
40   0.315708            0.00303057          
41   0.257745            0.00274325          
42   0.140845            0.00194143          
43   1.07232             0.0055551           
44   0.96274             0.00530766          
45   0.813426            0.00455042          
46   0.695189            0.00394127          
47   0.584476            0.00340495          
48   0.498359            0.00322566          
49   0.423581            0.00325526          
50   0.358945            0.00297638          
51   0.254406            0.00268776          
52   0.137313            0.0018817           
53   1.0169              0.00537755          
54   0.969627            0.0052907           
55   0.826921            0.00456878          
56   0.70645             0.00393814          
57   0.592076            0.00337936          
58   0.502875            0.00319251          
59   0.425409            0.00321942          
60   0.358683            0.00295082          
61   0.312083            0.00295929          
62   0.251987            0.00264791          
63   0.134735            0.00183863          
64   0.0214554           0.000695992         
65   0.950759            0.00515446          
66   0.839547            0.0045822           
67   0.719223            0.00394046          
68   0.601234            0.00335694          
69   0.508367            0.00316115          
70   0.427874            0.00318358          
71   0.358627            0.00292515          
72   0.310606            0.00292856          
73   0.249391            0.00260539          
74   0.131917            0.00179203          
75   0.899441            0.00488062          
76   0.845998            0.00458326          
77   0.729262            0.00394545          
78   0.608843            0.00334482          
79   0.51323             0.00314326          
80   0.430311            0.00316253          
81   0.358975            0.00290974          
82   0.309733            0.00290806          
83   0.2476              0.00257543          
84   0.129865            0.00175827          
85   0.0200069           0.000655051         
86   0.846007            0.00456937          
87   0.739189            0.00395912          
88   0.617824            0.00333986          
89   0.519317            0.00313215          
90   0.433537            0.00314826          
91   0.35981             0.00289837          
92   0.309193            0.00289062          
93   0.245989            0.00254743          
94   0.127849            0.00172504          
95   0.825951            0.00446815          
96   0.74622             0.00398266          
97   0.626018            0.00334667          
98   0.525211            0.00313292          
99   0.436887            0.00314587          
100  0.361069            0.00289536          
101  0.309215            0.00288127          
102  0.244982            0.00252845          
103  0.126386            0.0017006           
104  0.752429            0.00403623          
105  0.637547            0.00337738          
106  0.534151            0.00315445          
107  0.442451            0.00315644          
108  0.363597            0.00290295          
109  0.309961            0.00287758          
110  0.244314            0.00251261          
111  0.12485             0.00167414          
112  0.0184436           0.000611823         
113  0.655264            0.00349377          
114  0.549793            0.0032403           
115  0.452906            0.00320486          
116  0.369146            0.00293989          
117  0.312692            0.00289249          
118  0.244656            0.002507            
119  0.123418            0.0016471           
120  0.583686            0.00354166          
121  0.478153            0.00339959          
122  0.384097            0.00305515          
123  0.321614            0.00296487          
124  0.248493            0.00253552          
125  0.122787            0.00162768          
126  0.0173072           0.000584657         
127  0.538379            0.00404053          
128  0.423701            0.00342722          
129  0.347293            0.00321721          
130  0.262447            0.00268048          
131  0.125439            0.00164992          
132  0.016998            0.000586861         
133  0.493475            0.00418678          
134  0.395566            0.00375452          
135  0.290188            0.00300469          
136  0.132922            0.00174461          
137  0.017245            0.000615235         
138  0.463336            0.00458469          
139  0.332009            0.00353378          
140  0.145036            0.00191846          
141  0.408657            0.00457033          
142  0.171395            0.00233306          
143  0.0197383           0.000795463         
144  0.200779            0.00282554          
