THPREDICTIONS POSDYC  NNPDF30_nlo_as_0118
0    5.86669e-13         1.26572e-12         
1    2.10116e-12         1.3027e-11          
2    -4.70417e-11        2.33856e-11         
3    -1.34379e-10        2.61507e-11         
4    -2.25682e-10        2.85448e-11         
5    -3.32021e-10        2.76566e-11         
6    -4.5213e-10         3.36118e-11         
7    -5.78313e-10        3.27148e-11         
8    -6.6905e-10         4.32706e-11         
9    -6.92489e-10        5.32272e-11         
10   -4.89868e-10        3.25501e-11         
11   -3.15323e-10        2.887e-11           
12   -2.06996e-10        2.63353e-11         
13   -1.32384e-10        2.63929e-11         
14   -7.25882e-11        2.98406e-11         
15   -2.63932e-11        1.94804e-11         
16   -2.36004e-12        1.47224e-11         
17   4.19667e-12         1.1209e-11          
18   3.05925e-12         6.52249e-12         
19   5.86669e-13         1.26572e-12         
