THPREDICTIONS POSF2S  NNPDF30_nlo_as_0118
0    0.570985            0.64683             
1    0.387517            0.337983            
2    0.267971            0.177325            
3    0.174791            0.0705619           
4    0.133808            0.0503677           
5    0.101798            0.0362466           
6    0.0734599           0.0243898           
7    0.0464852           0.0144866           
8    0.0213204           0.00345223          
9    0.00846142          0.00178473          
10   0.00448364          0.00129108          
11   0.00204506          0.00135774          
12   0.00102596          0.000822262         
13   0.000944455         0.00108752          
14   0.000908732         0.00110038          
15   0.000832485         0.000827084         
16   0.000596022         0.000593904         
17   0.000613264         0.000599757         
18   0.000458178         0.000454896         
19   0.000173253         0.000208697         
