THPREDICTIONS POSFLL  NNPDF30_nlo_as_0118
0    0.883689            1.50227             
1    0.561843            0.762532            
2    0.361924            0.331641            
3    0.224               0.0564584           
4    0.17422             0.0172131           
5    0.143236            0.00730624          
6    0.11778             0.00279379          
7    0.0941787           0.00151545          
8    0.0664776           0.00102625          
9    0.0337768           0.000381893         
10   0.0215346           0.000205762         
11   0.0140941           0.000156444         
12   0.00874588          0.000134248         
13   0.00497411          0.000113076         
14   0.00253351          6.90469e-05         
15   0.00113976          4.50621e-05         
16   0.000431109         2.92075e-05         
17   0.00013332          1.75258e-05         
18   3.1574e-05          8.61133e-06         
19   3.70624e-06         2.33746e-06         
