THPREDICTIONS POSDYS  NNPDF30_nlo_as_0118
0    9.2864e-11          1.07735e-10         
1    3.2716e-10          3.13812e-10         
2    4.86116e-10         4.35369e-10         
3    4.73879e-10         4.75708e-10         
4    4.80253e-10         3.24416e-10         
5    7.27135e-10         4.92699e-10         
6    1.03291e-09         4.71581e-10         
7    1.29331e-09         4.38232e-10         
8    1.49956e-09         4.73057e-10         
9    1.55098e-09         5.23862e-10         
10   1.11277e-09         4.65281e-10         
11   6.69416e-10         4.94044e-10         
12   4.56625e-10         3.06582e-10         
13   4.77564e-10         4.83614e-10         
14   4.86377e-10         4.89053e-10         
15   4.20528e-10         3.68687e-10         
16   3.47971e-10         3.29297e-10         
17   3.49303e-10         3.63141e-10         
18   2.49011e-10         2.66835e-10         
19   9.2864e-11          1.07735e-10         
