THPREDICTIONS POSDYCBD  NNPDF30_nlo_as_0118
0    -0.00564269         0.0191439           
1    -0.0679258          0.0394049           
2    -0.23035            0.0443289           
3    -0.404582           0.0580457           
4    -0.4891             0.0578528           
5    -0.440918           0.0498939           
6    -0.335572           0.0392627           
7    -0.238933           0.0375392           
8    -0.176557           0.0343157           
9    -0.140567           0.0263108           
10   -0.0834397          0.017349            
11   -0.0581404          0.0107414           
12   -0.0437399          0.0106464           
13   -0.032536           0.00622992          
14   -0.0210248          0.00845423          
15   -0.00939458         0.00513476          
16   -0.00196718         0.00362078          
17   0.000713114         0.00282353          
18   0.00095459          0.00204791          
19   0.000252812         0.000549752         
