THPREDICTIONS TTBARTOT  NNPDF30_nlo_as_0118
0    156.033             5.67797             
1    156.033             5.67797             
2    156.033             5.67797             
3    156.033             5.67797             
4    224.562             7.70948             
5    224.562             7.70948             
