THPREDICTIONS HERACOMBNCEP460  NNPDF30_nlo_as_0118
0    0.674654            0.0669402           
1    0.683062            0.0516441           
2    0.729408            0.0394282           
3    0.737817            0.0325815           
4    0.740652            0.0277027           
5    0.802636            0.0233887           
6    0.813637            0.0197641           
7    0.817703            0.0168298           
8    0.80712             0.0132318           
9    0.87964             0.013467            
10   0.893174            0.0112638           
11   0.897221            0.0103239           
12   0.898014            0.00984303          
13   0.884964            0.00860572          
14   0.934755            0.00935516          
15   0.949313            0.00862235          
16   0.95323             0.00842177          
17   0.954672            0.00828921          
18   0.950381            0.00826213          
19   0.939774            0.00845006          
20   0.913138            0.00762371          
21   0.881166            0.00723549          
22   0.989751            0.00824456          
23   1.00477             0.00851446          
24   1.00878             0.00880377          
25   1.00971             0.00893469          
26   1.00349             0.00863927          
27   0.990706            0.00815904          
28   0.959465            0.00767012          
29   0.924107            0.00735475          
30   0.84879             0.00673504          
31   0.764895            0.00618469          
32   1.05992             0.00910725          
33   1.07372             0.00919639          
34   1.07668             0.00914063          
35   1.07601             0.00908416          
36   1.06618             0.00885642          
37   1.05022             0.00854928          
38   1.01799             0.00802736          
39   0.970803            0.00735498          
40   0.885065            0.00648595          
41   0.789113            0.0057833           
42   1.09391             0.00916062          
43   1.1068              0.00934887          
44   1.10905             0.00936069          
45   1.10846             0.0092992           
46   1.09709             0.00900595          
47   1.07893             0.00863515          
48   1.037               0.00786945          
49   0.991725            0.00720272          
50   0.900517            0.00630929          
51   0.796473            0.00564404          
52   1.1303              0.00939523          
53   1.14168             0.00946117          
54   1.13834             0.00923696          
55   1.1022              0.00834207          
56   1.008               0.00702713          
57   0.908741            0.00602965          
58   0.797886            0.00547039          
59   1.15321             0.00927825          
60   1.15598             0.00921833          
61   1.15574             0.00909949          
62   1.15163             0.00889488          
63   1.13515             0.00842582          
64   1.11263             0.00802822          
65   1.06389             0.00739826          
66   1.01193             0.00675852          
67   0.906678            0.00581339          
68   0.793639            0.00531628          
69   1.15918             0.00868212          
70   1.16589             0.00851731          
71   1.16318             0.00837757          
72   1.15827             0.00825725          
73   1.13799             0.00792797          
74   1.11249             0.00753987          
75   1.05729             0.00682619          
76   1.0037              0.00629541          
77   0.920339            0.0056437           
78   0.893726            0.00553015          
