THPREDICTIONS ATLASR04JETS36PB  NNPDF30_nlo_as_0118
0    6.05469e+06         97863.7             
1    967240              16166.6             
2    185560              3244.37             
3    46696.5             871.152             
4    10428.3             214.833             
5    1780.34             36.8631             
6    295.856             5.67124             
7    74.0062             1.40307             
8    23.3586             0.465574            
9    6.63733             0.161744            
10   1.45182             0.0462256           
11   0.376792            0.0133664           
12   0.0779339           0.00289944          
13   0.0107055           0.000478749         
14   0.00185517          0.000107635         
15   0.000275654         1.968e-05           
16   5.72195e+06         89885.2             
17   933830              15276               
18   180235              3122.62             
19   44864.3             811.306             
20   9922.81             183.09              
21   1695.32             30.5081             
22   278.64              5.07705             
23   68.8128             1.37436             
24   21.8303             0.487822            
25   6.12902             0.152405            
26   1.32352             0.0368384           
27   0.335918            0.0106383           
28   0.0676233           0.00259124          
29   0.00870709          0.000431398         
30   0.00138408          8.25645e-05         
31   0.000179796         1.29855e-05         
32   5.4643e+06          90614.2             
33   875997              14958.6             
34   170174              3157.36             
35   41249.7             729.283             
36   9082.85             157.876             
37   1511.23             26.102              
38   247.07              5.35773             
39   59.8058             1.48997             
40   18.485              0.456199            
41   5.07765             0.12236             
42   1.05075             0.0288738           
43   0.247849            0.00891585          
44   0.0452753           0.00208038          
45   0.00459732          0.000253885         
46   0.000537376         3.71127e-05         
47   4.61167e-05         4.65854e-06         
48   4.75795e+06         76287.4             
49   758375              12093               
50   137509              2221.17             
51   33099.4             521.274             
52   7085.36             114.936             
53   1128.93             21.9662             
54   171.194             3.65556             
55   39.0744             0.908255            
56   11.1882             0.296051            
57   2.72283             0.0840828           
58   0.456216            0.017474            
59   0.0830715           0.00385328          
60   0.0106783           0.00059508          
61   0.000581725         4.65447e-05         
62   3.40296e-05         4.3827e-06          
63   3.69395e+06         57872.4             
64   550164              8614.83             
65   95288.3             1653.53             
66   21306.3             429.363             
67   4235.2              80.3016             
68   579.942             12.247              
69   69.3623             2.20397             
70   11.2884             0.45914             
71   2.17362             0.102826            
72   0.304327            0.0177066           
73   0.0188588           0.00176507          
74   0.000896801         0.000156039         
75   2.54164e+06         39108.8             
76   345009              6757                
77   52413.8             937.179             
78   10385.2             221.525             
79   1577.83             47.2418             
80   138.273             5.85104             
81   6.86648             0.415925            
82   0.399302            0.0416536           
83   0.0213972           0.00417386          
84   1.36245e+06         26080.3             
85   139536              3237.71             
86   14245.2             557.659             
87   1514.29             80.638              
88   93.0506             7.57068             
89   1.76676             0.263846            
