THPREDICTIONS POSDYUS  NNPDF30_nlo_as_0118
0    0.0898936           0.280808            
1    0.420583            0.330277            
2    0.842966            0.52894             
3    0.696635            0.551465            
4    0.541795            0.352365            
5    1.21121             0.73148             
6    2.39491             0.737343            
7    3.65998             0.743754            
8    4.91648             0.79383             
9    5.72895             0.859876            
10   7.2052              1.45367             
11   8.03523             1.45924             
12   7.80085             1.5228              
13   6.81592             1.75229             
14   5.21384             1.60994             
15   3.50068             1.25073             
16   2.04017             0.813879            
17   0.955914            0.447809            
18   0.303434            0.156016            
19   0.0451421           0.0624694           
