THPREDICTIONS ATLASR04JETS2P76TEV  NNPDF30_nlo_as_0118
0    1790.76             26.555              
1    248.768             3.75829             
2    40.4589             0.603849            
3    8.80182             0.124141            
4    1.65988             0.0236991           
5    0.227121            0.00378792          
6    0.0284476           0.000558225         
7    0.00549179          0.000130764         
8    0.00135906          4.03943e-05         
9    0.000279456         1.02644e-05         
10   3.60055e-05         1.74122e-06         
11   1672.92             24.6546             
12   237.608             3.41476             
13   38.4923             0.516839            
14   8.29441             0.114462            
15   1.54809             0.0225575           
16   0.20952             0.00319057          
17   0.0258899           0.000510293         
18   0.00489122          0.00012281          
19   0.00117357          3.56845e-05         
20   0.000229318         8.77919e-06         
21   2.65801e-05         1.40683e-06         
22   1588.4              22.6427             
23   219.289             2.8697              
24   34.8203             0.45708             
25   7.35353             0.101673            
26   1.34532             0.0177076           
27   0.176404            0.002803            
28   0.020541            0.000448002         
29   0.00354948          9.89845e-05         
30   0.00076002          2.76828e-05         
31   0.000124601         5.89488e-06         
32   1303.57             15.2342             
33   171.197             2.03207             
34   25.9409             0.292694            
35   5.21849             0.059999            
36   0.889898            0.0128656           
37   0.100576            0.00204409          
38   0.00879617          0.000265785         
39   0.00108332          4.5751e-05          
40   0.00015992          8.70754e-06         
41   1.63819e-05         1.19937e-06         
42   892.855             11.0444             
43   104.482             1.14039             
44   13.7708             0.203156            
45   2.25973             0.0450656           
46   0.267226            0.00803518          
47   0.0150525           0.000735139         
48   0.000330912         3.27345e-05         
49   6.45087e-06         1.50214e-06         
50   470.852             6.172               
51   41.7999             0.852852            
52   3.23406             0.116461            
53   0.264321            0.014855            
54   0.0106709           0.00108135          
55   6.59676e-05         1.88981e-05         
56   102.414             3.77597             
57   2.97208             0.225929            
58   0.0265907           0.00697142          
