THPREDICTIONS HERAF2CHARM  NNPDF30_nlo_as_0118
0    0.0806397           0.00529146          
1    0.0687344           0.00315463          
2    0.0588492           0.00198789          
3    0.0541415           0.00155708          
4    0.0443455           0.000933331         
5    0.131725            0.00792751          
6    0.10844             0.00423418          
7    0.0920524           0.0025686           
8    0.0675387           0.00130401          
9    0.159558            0.00761211          
10   0.149377            0.00609241          
11   0.131738            0.00412778          
12   0.11518             0.0027766           
13   0.100736            0.00203505          
14   0.0811541           0.00146858          
15   0.221836            0.00812645          
16   0.204607            0.00618376          
17   0.183531            0.00440142          
18   0.160269            0.00314293          
19   0.131736            0.00227055          
20   0.103697            0.00169864          
21   0.264618            0.00739832          
22   0.244345            0.00569746          
23   0.215058            0.0040587           
24   0.181842            0.00301233          
25   0.146977            0.00229977          
26   0.117607            0.00190266          
27   0.315151            0.00632393          
28   0.295237            0.00523972          
29   0.247274            0.00379668          
30   0.204843            0.00299993          
31   0.183603            0.00265698          
32   0.146268            0.00226179          
33   0.122176            0.00210099          
34   0.317001            0.00451186          
35   0.28274             0.00388614          
36   0.236509            0.00319874          
37   0.196651            0.00277542          
38   0.15608             0.00248336          
39   0.109771            0.0020219           
40   0.334412            0.00427873          
41   0.288015            0.00365188          
42   0.228653            0.00308605          
43   0.168429            0.00267418          
44   0.0919216           0.00168723          
45   0.264745            0.00337642          
46   0.160359            0.00259956          
47   0.203923            0.00299738          
48   0.110314            0.00188675          
49   0.18593             0.00281388          
50   0.0958782           0.00168834          
51   0.0663814           0.00121823          
