THPREDICTIONS POSDYCDB  NNPDF30_nlo_as_0118
0    -0.00420404         0.0174853           
1    0.00680673          0.0364428           
2    0.0052322           0.0359993           
3    -0.0152385          0.0399696           
4    -0.0782284          0.0337096           
5    -0.144638           0.0276133           
6    -0.187428           0.0215306           
7    -0.189684           0.018401            
8    -0.171265           0.0159154           
9    -0.155048           0.0162996           
10   -0.0917215          0.0108794           
11   -0.0573345          0.00683789          
12   -0.0394382          0.00670091          
13   -0.0274592          0.00473101          
14   -0.0169901          0.00672465          
15   -0.00739486         0.0042016           
16   -0.0014654          0.00301295          
17   0.000630745         0.00232597          
18   0.000785088         0.00168958          
19   0.000204772         0.000446031         
