THPREDICTIONS POSDYUSB  NNPDF30_nlo_as_0118
0    -0.0081355          0.293724            
1    -0.068746           0.205875            
2    -0.201169           0.255431            
3    0.074348            0.344416            
4    0.519213            0.423433            
5    0.845243            0.347805            
6    1.33145             0.425549            
7    2.12831             0.559372            
8    3.11381             0.717307            
9    4.15334             0.795725            
10   6.84997             1.08884             
11   8.2889              1.77418             
12   8.22603             2.08869             
13   7.20031             2.11296             
14   5.49041             1.82113             
15   3.6804              1.35401             
16   2.14281             0.861265            
17   1.00519             0.473259            
18   0.31899             0.165958            
19   0.0477926           0.0646968           
