THPREDICTIONS CMSDY2D11  NNPDF30_nlo_as_0118
0    14563.3             169.503             
1    14572.4             169.301             
2    14540.8             168.333             
3    14532.8             167.631             
4    14482.6             166.274             
5    14455.7             165.292             
6    14383.5             163.719             
7    14329.3             162.518             
8    14294.6             161.702             
9    14212.8             160.613             
10   14111.2             159.504             
11   14028.4             158.817             
12   13935               158.051             
13   13823.4             156.99              
14   13688.8             155.916             
15   13529.6             154.856             
16   13265.2             153.243             
17   12812               150.506             
18   12259               147.719             
19   11290.1             140.692             
20   9694.35             125.783             
21   7388.78             99.6353             
22   4586.15             64.1479             
23   1557.12             22.4768             
24   24766               279.109             
25   24739.4             278.742             
26   24716.9             278.149             
27   24721.5             278.052             
28   24665.6             277.307             
29   24625.7             276.878             
30   24570.3             276.939             
31   24562.8             278.74              
32   24493.2             281.041             
33   24412.2             284.396             
34   24343.1             288.408             
35   24195.3             292.084             
36   23973               294.856             
37   23620.4             296.26              
38   22925               293.542             
39   21873.9             286.758             
40   20358               274.898             
41   18363.7             256.453             
42   15968.3             231.403             
43   13092.7             197.013             
44   10218.9             158.409             
45   7427.6              118.231             
46   4433.05             72.839              
47   1468.77             24.9029             
48   10149               110.855             
49   10136.6             110.203             
50   10119.1             109.416             
51   10109.5             109                 
52   10135.3             109.44              
53   10100.1             109.592             
54   10096.3             110.556             
55   10068.2             111.624             
56   10021.5             112.702             
57   9917.6              113.228             
58   9734.04             112.756             
59   9454.05             111.263             
60   9034.73             108.48              
61   8532.4              104.778             
62   7972.1              100.061             
63   7347.02             94.2902             
64   6667.36             87.2834             
65   5901.84             78.7945             
66   5092.76             69.4061             
67   4225.47             58.7597             
68   3324.48             47.1647             
69   2391.18             34.6257             
70   1425.57             21.0819             
71   474.194             7.18355             
72   295380              3821.56             
73   294987              3751.82             
74   293863              3628.74             
75   292454              3469.59             
76   290185              3265.15             
77   286028              3015.84             
78   281103              2781.05             
79   275374              2601.67             
80   268641              2483.73             
81   260296              2389.7              
82   251241              2299.05             
83   240447              2196.99             
84   228277              2098.47             
85   214065              1990.78             
86   198220              1879.01             
87   180968              1751.42             
88   162092              1600.54             
89   142071              1425.86             
90   120702              1227.57             
91   98682.2             1022.92             
92   76176.8             807.405             
93   53676.8             581.584             
94   31624.1             351.477             
95   10087.2             115.869             
96   3147.82             36.3162             
97   3140.8              35.7837             
98   3118.8              34.9705             
99   3092.33             34.2314             
100  3059.5              33.5806             
101  3016.65             32.9127             
102  2963.83             32.1967             
103  2911.99             31.6427             
104  2836.43             31.0066             
105  2747.26             30.4026             
106  2654.55             29.8418             
107  2539.6              29.0317             
108  2410.2              27.9751             
109  2257.34             26.5278             
110  2090.71             24.8045             
111  1903.32             22.7972             
112  1698.19             20.5371             
113  1483.7              18.1662             
114  1247.24             15.5148             
115  1010.81             12.8587             
116  770.344             10.0892             
117  532.183             7.21023             
118  304.613             4.27459             
119  97.8625             1.42283             
120  536.183             7.88972             
121  529.471             7.48986             
122  517.732             7.07554             
123  499.755             6.73447             
124  471.847             6.33121             
125  432.904             5.82028             
126  379.819             5.20293             
127  311.647             4.456               
128  232.616             3.51283             
129  150.186             2.3734              
130  75.7885             1.22684             
131  19.9087             0.325603            
