THPREDICTIONS CMSJETS11  NNPDF30_nlo_as_0118
0    2837.54             32.4887             
1    1287.12             14.6527             
2    619.618             7.05709             
3    311.748             3.57852             
4    161.508             1.8804              
5    85.3894             1.0219              
6    45.8698             0.571221            
7    25.2393             0.331252            
8    14.182              0.198121            
9    7.91118             0.118925            
10   4.5447              0.0737914           
11   2.63835             0.0464584           
12   1.5213              0.0290423           
13   0.886898            0.0183514           
14   0.525632            0.0117423           
15   0.309414            0.00746628          
16   0.181358            0.00471527          
17   0.107258            0.00301217          
18   0.0635028           0.00191874          
19   0.0373294           0.00121765          
20   0.0218417           0.000767544         
21   0.0127292           0.000483832         
22   0.00731745          0.000300936         
23   0.00420894          0.000187167         
24   0.00235775          0.000113703         
25   0.00130211          6.81092e-05         
26   0.000712732         4.04308e-05         
27   0.000378394         2.32499e-05         
28   0.000196288         1.30597e-05         
29   9.95616e-05         7.18354e-06         
30   4.82365e-05         3.78717e-06         
31   1.63197e-05         1.4525e-06          
32   2.18319e-06         2.54779e-07         
33   2618.96             27.7536             
34   1187.85             12.244              
35   564.296             5.75744             
36   283.825             2.91406             
37   145.691             1.54949             
38   76.5134             0.864316            
39   40.9365             0.499557            
40   22.3322             0.297025            
41   12.4068             0.179711            
42   6.94061             0.109807            
43   3.93376             0.0677905           
44   2.26239             0.0421622           
45   1.29481             0.0261831           
46   0.745949            0.0164195           
47   0.431399            0.0102866           
48   0.250187            0.00648674          
49   0.144772            0.00409225          
50   0.0833148           0.00256984          
51   0.0480466           0.00161332          
52   0.0272075           0.000998121         
53   0.0155292           0.000618655         
54   0.0086263           0.000373869         
55   0.00477768          0.000223859         
56   0.00257269          0.000129987         
57   0.00136235          7.4557e-05          
58   0.000708719         4.17943e-05         
59   0.000356982         2.29854e-05         
60   0.0001734           1.23105e-05         
61   8.21098e-05         6.48632e-06         
62   1.48423e-05         1.45517e-06         
63   2226.18             19.4958             
64   993.541             8.72506             
65   471.864             4.3358              
66   232.153             2.309               
67   117.72              1.29127             
68   61.0536             0.746746            
69   32.1468             0.436973            
70   17.2492             0.259617            
71   9.39754             0.15573             
72   5.12514             0.0938135           
73   2.82279             0.0574295           
74   1.5768              0.0351854           
75   0.868784            0.0215806           
76   0.477448            0.0131858           
77   0.263097            0.00804934          
78   0.144051            0.00486589          
79   0.0773189           0.00287603          
80   0.041281            0.0016743           
81   0.022002            0.000963231         
82   0.0113076           0.000538633         
83   0.00571166          0.000299282         
84   0.00281039          0.000161355         
85   0.00134155          8.64817e-05         
86   0.00062044          4.54331e-05         
87   0.000273861         2.31457e-05         
88   0.000117146         1.15684e-05         
89   1.12075e-05         1.4797e-06          
90   1722.79             14.684              
91   752.368             7.24321             
92   349.819             3.81033             
93   167.762             2.06847             
94   82.4362             1.15753             
95   41.2309             0.659922            
96   20.8728             0.380039            
97   10.6361             0.220004            
98   5.46                0.129283            
99   2.79827             0.0753333           
100  1.41486             0.0431479           
101  0.719961            0.0243071           
102  0.357099            0.0134702           
103  0.174052            0.00719932          
104  0.0820831           0.00380226          
105  0.0385221           0.00198034          
106  0.0174098           0.0010189           
107  0.00758235          0.000514832         
108  0.0031525           0.000252786         
109  0.00127149          0.000123177         
110  0.000474995         5.67764e-05         
111  0.000171454         2.5291e-05          
112  5.59298e-05         1.03574e-05         
113  4.89916e-06         1.27238e-06         
114  1178.85             13.6093             
115  488.879             6.74533             
116  213.558             3.48604             
117  97.1863             1.87461             
118  44.1977             1.0166              
119  19.8476             0.538699            
120  9.04218             0.282327            
121  3.9957              0.143184            
122  1.74964             0.0712548           
123  0.74008             0.0342825           
124  0.30345             0.0162318           
125  0.122204            0.00777817          
126  0.0458043           0.00351431          
127  0.0158196           0.00154218          
128  0.00545338          0.000668531         
129  0.00163939          0.000267184         
130  0.000447475         9.59627e-05         
131  0.000105653         3.0309e-05          
132  5.18076e-06         2.15045e-06         
