THPREDICTIONS HERA1CCEM  NNPDF30_nlo_as_0118
0    1.21893             0.0105705           
1    1.02761             0.00771961          
2    0.817411            0.00755597          
3    1.10167             0.00703721          
4    1.00056             0.00687183          
5    0.809384            0.00729174          
6    0.708752            0.00705131          
7    0.869915            0.00704887          
8    0.91394             0.00583276          
9    0.786135            0.00691719          
10   0.692079            0.00673562          
11   0.489423            0.00600133          
12   0.834311            0.00574975          
13   0.763444            0.0066982           
14   0.67881             0.00653834          
15   0.478906            0.00580925          
16   0.769452            0.00608074          
17   0.741634            0.00655523          
18   0.667237            0.00639389          
19   0.471319            0.00567582          
20   0.702594            0.0064096           
21   0.647165            0.00619476          
22   0.460365            0.00549346          
23   0.234937            0.00401829          
24   0.643874            0.00638779          
25   0.614865            0.00599963          
26   0.445867            0.0052798           
27   0.225812            0.00380915          
28   0.580295            0.0059471           
29   0.431511            0.00511619          
30   0.217946            0.00362692          
31   0.410994            0.00499438          
32   0.208095            0.00343547          
33   0.197938            0.00337423          
