THPREDICTIONS HERACOMBNCEP575  NNPDF30_nlo_as_0118
0    0.609905            0.270993            
1    0.68609             0.0946243           
2    0.695487            0.0732157           
3    0.7487              0.049318            
4    0.757974            0.0396468           
5    0.76257             0.0331703           
6    0.830252            0.0253023           
7    0.84095             0.0216634           
8    0.846343            0.0189729           
9    0.846098            0.0167898           
10   0.839766            0.0148343           
11   0.914514            0.0146835           
12   0.927038            0.0126342           
13   0.933096            0.0111298           
14   0.932772            0.0100542           
15   0.925466            0.00927283          
16   0.898709            0.00853246          
17   0.974966            0.0102682           
18   0.988716            0.00956699          
19   0.995084            0.00921956          
20   0.99557             0.00905555          
21   0.994464            0.00896816          
22   0.991332            0.00886674          
23   0.986034            0.00878582          
24   0.971673            0.00871956          
25   0.954544            0.00845644          
26   1.03523             0.00923993          
27   1.04955             0.00948521          
28   1.05554             0.00970672          
29   1.05381             0.00985501          
30   1.04953             0.0097945           
31   1.04322             0.00963305          
32   1.02586             0.00915108          
33   1.00623             0.0085786           
34   0.96727             0.00779148          
35   0.928558            0.0074364           
36   0.851952            0.00675699          
37   0.815382            0.00652723          
38   0.763817            0.00621237          
39   1.1152              0.0105335           
40   1.12839             0.0109123           
41   1.13108             0.010879            
42   1.12837             0.0107449           
43   1.12391             0.0105261           
44   1.11631             0.0101977           
45   1.10959             0.00995115          
46   1.08931             0.0093611           
47   1.06717             0.00889996          
48   1.02857             0.00825617          
49   0.976477            0.00742024          
50   0.940286            0.0069911           
51   0.887463            0.00654921          
52   0.846322            0.00620958          
53   0.789363            0.00585274          
54   1.15227             0.0109548           
55   1.16416             0.0110961           
56   1.16714             0.0109518           
57   1.16139             0.0105961           
58   1.15511             0.01036             
59   1.14572             0.010083            
60   1.1217              0.00949058          
61   1.09639             0.00897823          
62   1.04744             0.00800762          
63   0.998078            0.00731195          
64   0.958132            0.00691704          
65   0.902009            0.00637942          
66   0.858626            0.00603266          
67   0.796975            0.00569426          
68   1.19063             0.0109565           
69   1.2019              0.0109854           
70   1.20327             0.0108214           
71   1.19504             0.0104507           
72   1.176               0.00990598          
73   1.12253             0.00861013          
74   1.01285             0.00713894          
75   0.909933            0.00613215          
76   0.798524            0.00550884          
77   1.22003             0.0108075           
78   1.22306             0.0105691           
79   1.21839             0.0103202           
80   1.20415             0.00980544          
81   1.19183             0.00944839          
82   1.16351             0.0088207           
83   1.13207             0.00832238          
84   1.07287             0.00755601          
85   1.0173              0.00689532          
86   0.980835            0.00652099          
87   0.908199            0.00590902          
88   0.862274            0.00562146          
89   0.793311            0.00537232          
90   1.23138             0.0101334           
91   1.23862             0.00993927          
92   1.23609             0.00961229          
93   1.22245             0.00922148          
94   1.20873             0.00895348          
95   1.19686             0.00876225          
96   1.1638              0.00826976          
97   1.13021             0.00779474          
98   1.06578             0.00701726          
99   1.00815             0.00645293          
100  0.956883            0.00596192          
101  0.893992            0.00559795          
102  0.840607            0.00534623          
103  0.773903            0.00521358          
104  1.23485             0.009398            
105  1.239               0.00924331          
106  1.23261             0.00901526          
107  1.21532             0.00869289          
108  1.20268             0.00847345          
109  1.18773             0.00823302          
110  1.15321             0.00774303          
111  1.11824             0.00731273          
112  1.05297             0.00663126          
113  0.991379            0.00604767          
114  0.95303             0.00579709          
115  0.874357            0.00536003          
116  0.82164             0.00520568          
117  0.752436            0.00509737          
118  1.22273             0.00872493          
119  1.22306             0.0085685           
120  1.21463             0.00832391          
121  1.19658             0.00799572          
122  1.18092             0.00776579          
123  1.16695             0.00758082          
124  1.1301              0.00715147          
125  1.09306             0.00674247          
126  1.02659             0.00614394          
127  0.963005            0.00569967          
128  0.911621            0.00540177          
129  0.84499             0.00522495          
130  0.791828            0.00508526          
131  0.721206            0.00493933          
132  1.18808             0.00772995          
133  1.18488             0.00756377          
134  1.17234             0.00735025          
135  1.15008             0.00704567          
136  1.13834             0.00689494          
137  1.0933              0.00644418          
138  1.04081             0.00602147          
139  0.971372            0.00556259          
140  0.908758            0.00533823          
141  0.877478            0.00524076          
142  0.789252            0.00500772          
143  0.738706            0.00485511          
144  0.669709            0.00449141          
145  1.14978             0.00708966          
146  1.14309             0.00687271          
147  1.1338              0.00671717          
148  1.12825             0.00664867          
149  1.11592             0.00652621          
150  1.10254             0.00639952          
151  1.08864             0.00627359          
152  1.07458             0.00615339          
153  1.03329             0.00584512          
154  0.995285            0.00560811          
155  0.935231            0.00539788          
156  0.847648            0.00513769          
157  0.721692            0.00459113          
158  1.11402             0.00653798          
159  1.10651             0.00641712          
160  1.08917             0.00622099          
161  1.06769             0.00602779          
162  1.03327             0.00577798          
163  0.953399            0.00544047          
