THPREDICTIONS HERACOMBCCEP  NNPDF30_nlo_as_0118
0    1.10358             0.00819042          
1    1.05986             0.00864974          
2    0.839591            0.00820743          
3    0.58445             0.00688082          
4    0.449394            0.00730562          
5    0.880541            0.00800811          
6    0.917571            0.00617749          
7    0.791907            0.00733311          
8    0.564247            0.00641977          
9    0.433673            0.00692522          
10   0.646817            0.00740404          
11   0.662825            0.00597169          
12   0.513468            0.00561972          
13   0.400814            0.00623781          
14   0.218825            0.0053731           
15   0.548878            0.00540919          
16   0.465474            0.00501947          
17   0.372073            0.00568821          
18   0.206209            0.0049946           
19   0.084076            0.00448521          
20   0.458735            0.00533029          
21   0.420843            0.00453978          
22   0.345722            0.00520762          
23   0.195552            0.00469438          
24   0.359244            0.00551387          
25   0.341927            0.00386443          
26   0.298146            0.00438373          
27   0.177253            0.00420797          
28   0.0737993           0.003921            
29   0.225328            0.00335454          
30   0.219009            0.00315891          
31   0.146936            0.00346052          
32   0.0640587           0.0034116           
33   0.134365            0.0022514           
34   0.110269            0.00264779          
35   0.0526188           0.00283466          
36   0.0515732           0.00172686          
37   0.0327997           0.0018983           
38   0.00909249          0.00108375          
