THPREDICTIONS SLACD  NNPDF30_nlo_as_0118
0    0.300225            0.00795165          
1    0.305086            0.00754294          
2    0.31183             0.00706059          
3    0.314933            0.00685552          
4    0.321253            0.00647097          
5    0.30481             0.00723717          
6    0.30757             0.0069306           
7    0.31026             0.00666698          
8    0.312789            0.00642091          
9    0.314965            0.00624031          
10   0.316791            0.00608947          
11   0.318903            0.00592379          
12   0.320819            0.00578053          
13   0.32229             0.00567165          
14   0.324183            0.00553483          
15   0.327945            0.00528941          
16   0.329974            0.00516696          
17   0.314098            0.00602065          
18   0.316304            0.00572536          
19   0.31722             0.00559795          
20   0.319107            0.00530944          
21   0.320013            0.00517593          
22   0.321235            0.00497507          
23   0.321838            0.00486999          
24   0.322303            0.00478386          
25   0.322777            0.00469851          
26   0.323198            0.00462093          
27   0.323519            0.00455786          
28   0.323923            0.004471            
29   0.324345            0.00436779          
30   0.324595            0.00429402          
31   0.324856            0.00418106          
32   0.312283            0.0053226           
33   0.312205            0.00513305          
34   0.311829            0.00496989          
35   0.311555            0.00490196          
36   0.310173            0.00469972          
37   0.307228            0.00448096          
38   0.306708            0.00444526          
39   0.305831            0.00439412          
40   0.30514             0.00435481          
41   0.304312            0.00431237          
42   0.302646            0.00423505          
43   0.301617            0.00419117          
44   0.300241            0.00413336          
45   0.304233            0.00527565          
46   0.302883            0.00511348          
47   0.301343            0.00499234          
48   0.299512            0.00488678          
49   0.298217            0.0048252           
50   0.29669             0.00475895          
51   0.295061            0.0046943           
52   0.294275            0.004663            
53   0.292947            0.00461512          
54   0.291723            0.00456832          
55   0.290315            0.00451736          
56   0.288822            0.00446531          
57   0.287184            0.0044083           
58   0.286256            0.00437607          
59   0.285224            0.00433981          
60   0.284303            0.00430701          
61   0.281592            0.00421497          
62   0.283645            0.00543993          
63   0.28059             0.00525114          
64   0.279371            0.00518942          
65   0.277853            0.00511292          
66   0.274592            0.00494982          
67   0.272808            0.00486252          
68   0.270831            0.00476702          
69   0.269526            0.00470351          
70   0.265937            0.00453531          
71   0.264654            0.00447746          
72   0.263212            0.00442427          
73   0.259625            0.00427549          
74   0.257735            0.00420221          
75   0.255713            0.00412819          
76   0.253062            0.00403606          
77   0.251013            0.00396737          
78   0.248989            0.00390037          
79   0.247239            0.0038427           
80   0.238073            0.00479558          
81   0.234009            0.00465264          
82   0.232352            0.0045942           
83   0.230085            0.00451193          
84   0.227847            0.00443315          
85   0.225651            0.00435748          
86   0.223731            0.00428798          
87   0.22077             0.00417751          
88   0.218439            0.00409018          
89   0.216342            0.00401377          
90   0.214489            0.00394879          
91   0.212194            0.00387194          
92   0.209899            0.00379913          
93   0.205538            0.00367462          
94   0.202252            0.00358426          
95   0.200248            0.00353153          
96   0.197218            0.00345439          
97   0.195111            0.00340235          
98   0.192241            0.0033325           
99   0.190727            0.00329582          
100  0.188855            0.00325073          
101  0.166657            0.00376419          
102  0.164159            0.00372882          
103  0.162394            0.0036988           
104  0.158937            0.00363048          
105  0.157424            0.00359703          
106  0.155479            0.00355092          
107  0.149972            0.00341517          
108  0.147142            0.00334116          
109  0.142833            0.00322297          
110  0.141038            0.00317347          
111  0.139599            0.00313391          
112  0.138062            0.00309182          
113  0.136602            0.00305202          
114  0.135051            0.00301017          
115  0.132953            0.00295483          
116  0.13098             0.00290147          
117  0.129416            0.00286026          
118  0.127971            0.00282194          
119  0.126296            0.00277779          
120  0.12463             0.00273365          
121  0.123021            0.00269099          
122  0.121234            0.00264348          
123  0.118206            0.00256303          
124  0.116645            0.00252122          
125  0.102498            0.00287341          
126  0.0997736           0.00276975          
127  0.0942704           0.00256246          
128  0.0925141           0.00250215          
129  0.0905759           0.00243744          
130  0.0860977           0.00229208          
131  0.0847088           0.0022478           
132  0.0830766           0.00219621          
133  0.0814758           0.00214646          
134  0.0779846           0.00204506          
135  0.0759707           0.00198561          
136  0.07468             0.00194752          
137  0.0730413           0.00189965          
138  0.0716377           0.00185934          
139  0.0701052           0.00181495          
140  0.0687934           0.00177783          
141  0.0674387           0.0017397           
142  0.0660523           0.00170108          
143  0.0650523           0.00167357          
144  0.064141            0.00164865          
145  0.063051            0.00161901          
146  0.0498374           0.00181214          
147  0.0486508           0.00179208          
148  0.0462948           0.00174199          
149  0.0440288           0.00168629          
150  0.0425566           0.00164421          
151  0.0413652           0.0016106           
152  0.0390549           0.00154525          
153  0.0380509           0.00151617          
154  0.0365002           0.00147051          
155  0.0355181           0.00144114          
156  0.034576            0.00141258          
157  0.0331743           0.00136925          
158  0.0324248           0.00134558          
159  0.0316981           0.00132184          
160  0.0307577           0.00129375          
161  0.0300813           0.0012732           
162  0.0291308           0.00124299          
163  0.0285764           0.00122444          
164  0.0224697           0.00131039          
165  0.0201556           0.00126799          
166  0.0191403           0.00123832          
167  0.0182298           0.00122449          
168  0.0174248           0.001196            
169  0.0164624           0.00114597          
170  0.0154038           0.00108062          
171  0.0145092           0.00102397          
172  0.0137314           0.000976565         
173  0.0131335           0.000939094         
174  0.0126846           0.000913637         
175  0.0122917           0.000892565         
176  0.0119004           0.000872414         
177  0.0115514           0.000854911         
178  0.0112271           0.000838839         
179  0.0107479           0.000814994         
180  0.0103915           0.000796212         
181  0.00558272          0.000735087         
182  0.0051986           0.000717773         
183  0.00486895          0.00070123          
184  0.00444906          0.00067765          
185  0.00416961          0.000660638         
186  0.00398304          0.000648189         
187  0.00374608          0.000631096         
188  0.00358141          0.000618317         
189  0.00328912          0.000593435         
190  0.00294635          0.000560468         
