THPREDICTIONS H1HERA2NCEM  NNPDF30_nlo_as_0118
0    1.28954             0.00793442          
1    1.14546             0.00639731          
2    1.17539             0.00652139          
3    1.02704             0.00556433          
4    0.877435            0.00512045          
5    0.741586            0.00449922          
6    1.19803             0.00658721          
7    1.06118             0.00567297          
8    0.907252            0.00518767          
9    0.76401             0.00450614          
10   0.65804             0.00396288          
11   0.561055            0.00349955          
12   0.484749            0.00338476          
13   0.41819             0.0034149           
14   0.360424            0.00307118          
15   0.319041            0.00310375          
16   1.08152             0.00572851          
17   0.928972            0.00524156          
18   0.780812            0.00452038          
19   0.670272            0.00394675          
20   0.568908            0.00346026          
21   0.489325            0.00333825          
22   0.419989            0.00336622          
23   0.359949            0.00303715          
24   0.317228            0.00306744          
25   1.09086             0.0057353           
26   0.944475            0.0052791           
27   0.793979            0.00453594          
28   0.679944            0.00393819          
29   0.575267            0.00343241          
30   0.492916            0.00330423          
31   0.421427            0.00332947          
32   0.359584            0.00301122          
33   0.315802            0.00303914          
34   0.140885            0.00193785          
35   0.963838            0.00531409          
36   0.81325             0.00456409          
37   0.694783            0.00393125          
38   0.584944            0.00339564          
39   0.49856             0.00325672          
40   0.423697            0.00327709          
41   0.359058            0.00297429          
42   0.313679            0.00299743          
43   0.137345            0.00187902          
44   0.971034            0.00530144          
45   0.826772            0.00458375          
46   0.706077            0.00393015          
47   0.592517            0.00337248          
48   0.503025            0.0032252           
49   0.425519            0.00324176          
50   0.358786            0.00294886          
51   0.312168            0.00296793          
52   0.252064            0.0026518           
53   0.839623            0.00459851          
54   0.718929            0.0039342           
55   0.601574            0.00335279          
56   0.508501            0.00319569          
57   0.427997            0.00320693          
58   0.358732            0.00292375          
59   0.310671            0.00293707          
60   0.249461            0.00260904          
61   0.131943            0.00179077          
62   0.846066            0.00460098          
63   0.728749            0.003942            
64   0.609241            0.00334277          
65   0.513401            0.00317885          
66   0.430395            0.00318644          
67   0.359059            0.00290835          
68   0.309797            0.00291662          
69   0.247662            0.00257892          
70   0.129884            0.0017574           
71   0.846299            0.00458861          
72   0.738776            0.00395769          
73   0.618234            0.00334078          
74   0.519416            0.00316999          
75   0.433616            0.00317256          
76   0.359887            0.00289737          
77   0.309249            0.00289919          
78   0.246038            0.00255087          
79   0.127863            0.00172462          
80   0.838817            0.0045701           
81   0.745923            0.0039834           
82   0.626409            0.00335013          
83   0.525263            0.00317276          
84   0.436982            0.00317082          
85   0.361148            0.00289471          
86   0.309259            0.00288989          
87   0.245052            0.00253219          
88   0.126395            0.00170048          
89   0.75233             0.00403839          
90   0.63794             0.0033845           
91   0.53415             0.00319657          
92   0.44249             0.00318204          
93   0.363646            0.00290249          
94   0.310009            0.00288657          
95   0.244373            0.00251636          
96   0.124863            0.00167453          
97   0.0184556           0.000607471         
98   0.738217            0.00403619          
99   0.655545            0.00350609          
100  0.549865            0.00328308          
101  0.452961            0.00322928          
102  0.369179            0.00293919          
103  0.31271             0.00290059          
104  0.244695            0.00251086          
105  0.123435            0.00164813          
106  0.0178973           0.000592792         
107  0.679936            0.00389248          
108  0.583695            0.00358721          
109  0.478088            0.00342533          
110  0.38408             0.00305518          
111  0.321574            0.00297263          
112  0.248471            0.00253925          
113  0.122787            0.00162907          
114  0.017315            0.000580296         
115  0.623074            0.00443029          
116  0.538167            0.00406924          
117  0.423527            0.00342808          
118  0.347223            0.00322517          
119  0.262342            0.00268449          
120  0.125387            0.00165117          
121  0.017005            0.000582236         
122  0.595117            0.0048695           
123  0.493077            0.0041885           
124  0.395247            0.00375984          
125  0.290014            0.00300954          
126  0.132826            0.00174574          
127  0.0172441           0.000609545         
128  0.569796            0.00511152          
129  0.462754            0.00458624          
130  0.331658            0.00353778          
131  0.144935            0.00191995          
132  0.0179495           0.000661634         
133  0.408107            0.00457286          
134  0.171119            0.00233228          
135  0.0197205           0.000785194         
136  0.200461            0.00282488          
137  0.0220698           0.000958059         
138  0.0261664           0.00128548          
