THPREDICTIONS HERACOMBNCEM  NNPDF30_nlo_as_0118
0    1.40123             0.0113307           
1    1.35994             0.00936645          
2    1.33169             0.00891276          
3    1.25225             0.00778652          
4    1.32953             0.00866421          
5    1.28858             0.00794563          
6    1.14447             0.00644296          
7    1.2929              0.00790019          
8    1.17503             0.00656542          
9    1.02621             0.00558463          
10   0.876984            0.00514661          
11   0.74221             0.00452575          
12   1.2382              0.00703595          
13   1.19644             0.00662986          
14   1.06001             0.00569263          
15   0.906802            0.00521509          
16   0.764999            0.00453549          
17   0.65809             0.00400102          
18   0.56061             0.00351454          
19   0.484363            0.00338146          
20   0.417881            0.00343396          
21   0.360333            0.00309543          
22   0.318936            0.00311675          
23   1.18683             0.00650474          
24   1.08012             0.00574546          
25   0.928438            0.00526922          
26   0.78162             0.00455149          
27   0.670395            0.00398559          
28   0.568537            0.00347588          
29   0.488933            0.00333587          
30   0.419677            0.003384            
31   0.359873            0.00306064          
32   0.31715             0.00307985          
33   0.259884            0.00281185          
34   0.143154            0.00197597          
35   1.1467              0.00613876          
36   1.08966             0.00575039          
37   0.943896            0.00530693          
38   0.794749            0.00456867          
39   0.680037            0.00397756          
40   0.574809            0.00344837          
41   0.49254             0.00330241          
42   0.421092            0.00334651          
43   0.359512            0.00303439          
44   0.315734            0.00305147          
45   0.257667            0.002774            
46   0.140795            0.00193567          
47   1.07209             0.00558965          
48   0.962981            0.00534094          
49   0.81413             0.00459761          
50   0.694929            0.00397063          
51   0.584564            0.00341189          
52   0.498171            0.00325598          
53   0.423347            0.00329302          
54   0.358992            0.00299679          
55   0.31361             0.00300987          
56   0.254336            0.0027177           
57   0.137264            0.00187637          
58   1.0158              0.00542399          
59   0.969965            0.00532561          
60   0.827708            0.00461748          
61   0.706119            0.00396931          
62   0.592142            0.0033891           
63   0.502612            0.00322532          
64   0.425196            0.00325682          
65   0.358718            0.0029709           
66   0.31212             0.00298032          
67   0.251912            0.00267761          
68   0.134694            0.00183382          
69   0.0214546           0.000690957         
70   0.951351            0.00519938          
71   0.840743            0.00463105          
72   0.718872            0.003972            
73   0.601281            0.00336918          
74   0.508139            0.00319626          
75   0.427725            0.00322078          
76   0.35868             0.00294539          
77   0.310639            0.00294939          
78   0.249327            0.00263404          
79   0.131876            0.00178763          
80   0.898831            0.00494093          
81   0.846858            0.00463057          
82   0.728811            0.00397901          
83   0.608879            0.00335906          
84   0.513016            0.00318003          
85   0.430099            0.00319977          
86   0.359012            0.00292955          
87   0.309777            0.00292877          
88   0.247538            0.00260337          
89   0.129823            0.00175413          
90   0.0200055           0.000648858         
91   0.846933            0.00461325          
92   0.738816            0.00399232          
93   0.617875            0.00335625          
94   0.519051            0.00317103          
95   0.433336            0.00318536          
96   0.359844            0.0029183           
97   0.309233            0.00291129          
98   0.245927            0.00257454          
99   0.127807            0.0017212           
100  0.826819            0.00450841          
101  0.745901            0.00401497          
102  0.626095            0.00336449          
103  0.524914            0.00317397          
104  0.436727            0.00318305          
105  0.36114             0.00291464          
106  0.309259            0.00290185          
107  0.244951            0.0025551           
108  0.126344            0.00169695          
109  0.752106            0.00406518          
110  0.637545            0.00339787          
111  0.533882            0.00319806          
112  0.442265            0.00319403          
113  0.363641            0.00292238          
114  0.310026            0.00289829          
115  0.244285            0.00253824          
116  0.124818            0.00167091          
117  0.0184396           0.00060491          
118  0.737536            0.0040192           
119  0.655196            0.00351641          
120  0.549624            0.00328728          
121  0.45271             0.00324312          
122  0.369185            0.00295892          
123  0.312727            0.00291182          
124  0.244616            0.00253182          
125  0.123398            0.0016442           
126  0.0178819           0.000590036         
127  0.679272            0.00389494          
128  0.583496            0.003593            
129  0.477907            0.00343767          
130  0.384141            0.00307415          
131  0.321641            0.00298356          
132  0.248426            0.00255812          
133  0.122763            0.00162505          
134  0.0173007           0.000577546         
135  0.622962            0.00442727          
136  0.538119            0.00407883          
137  0.423754            0.00344651          
138  0.347413            0.00323646          
139  0.262373            0.00270055          
140  0.125389            0.00164714          
141  0.0169932           0.000580028         
142  0.594894            0.00488254          
143  0.493536            0.00420649          
144  0.395658            0.00377291          
145  0.290184            0.00302345          
146  0.132873            0.00174199          
147  0.0172364           0.000608695         
148  0.56995             0.00512316          
149  0.463363            0.00460185          
150  0.33203             0.00355137          
151  0.14505             0.00191696          
152  0.0179481           0.000663131         
153  0.408613            0.00458651          
154  0.171389            0.00233113          
155  0.0197368           0.000792526         
156  0.200775            0.00282351          
157  0.0221029           0.000972923         
158  0.0262082           0.00131168          
