THPREDICTIONS HERA1NCEP  NNPDF30_nlo_as_0118
199  0.498648            0.00402441          
200  0.447417            0.00391591          
201  1.2918              0.00892318          
202  1.30443             0.00903872          
203  1.16773             0.0072351           
204  1.02055             0.00586145          
205  0.891367            0.00520083          
206  0.769993            0.00498489          
207  0.662978            0.0046764           
208  0.583747            0.00433652          
209  0.511496            0.00390242          
210  0.455059            0.00378257          
211  0.360798            0.003366            
212  1.31341             0.00904081          
213  1.19494             0.00737859          
214  1.04991             0.00597334          
215  0.914831            0.00524541          
216  0.788702            0.00498469          
217  0.676269            0.00463918          
218  0.593873            0.00428095          
219  0.518088            0.00384745          
220  0.459088            0.00371911          
221  1.35671             0.00931266          
222  1.23644             0.00759514          
223  1.2472              0.00767152          
224  1.09485             0.00615803          
225  0.953237            0.00533709          
226  0.818096            0.00500502          
227  0.698035            0.00459735          
228  0.609493            0.00420888          
229  0.528799            0.00376674          
230  0.46532             0.00362692          
231  0.409839            0.00380307          
232  0.324468            0.00324407          
233  1.32434             0.00853926          
234  1.26019             0.00768732          
235  1.28255             0.00784199          
236  1.13668             0.00633017          
237  1.14253             0.00636285          
238  0.994115            0.00546017          
239  0.850775            0.00505578          
240  0.722139            0.00457574          
241  0.627159            0.00414514          
242  0.540066            0.00369399          
243  0.472138            0.0035356           
244  0.412702            0.00372255          
245  0.32196             0.00319998          
246  1.28541             0.00781131          
247  1.1615              0.00642915          
248  1.17194             0.00648817          
249  1.02409             0.00555966          
250  0.874937            0.0051073           
251  0.740124            0.00457546          
252  0.640036            0.00410881          
253  0.548503            0.003647            
254  0.47698             0.00347394          
255  0.414706            0.00366472          
256  0.320051            0.00316858          
257  1.23377             0.00699886          
258  1.17177             0.00644344          
259  1.19278             0.00656079          
260  1.05163             0.00564997          
261  1.05749             0.00567885          
262  0.904254            0.00518324          
263  0.762144            0.00459075          
264  0.656062            0.00407549          
265  0.558802            0.00359859          
266  0.483018            0.00340516          
267  0.417037            0.0035936           
268  0.35895             0.00310447          
269  0.317598            0.00313067          
270  0.262192            0.00291024          
271  0.145686            0.00205425          
272  1.18182             0.00644918          
273  1.06639             0.00569412          
274  1.07662             0.00574562          
275  0.924595            0.00524187          
276  0.778487            0.00461169          
277  0.667844            0.00405827          
278  0.566459            0.003568            
279  0.487342            0.00335787          
280  0.418704            0.0035413           
281  0.35842             0.00306685          
282  0.315718            0.00310263          
283  0.259337            0.00284465          
284  0.142667            0.00200099          
285  1.14108             0.00609964          
286  1.06846             0.00568399          
287  1.08439             0.0057642           
288  0.935351            0.00526741          
289  0.939461            0.00528746          
290  0.79092             0.00463443          
291  0.677016            0.00404868          
292  0.572305            0.00354789          
293  0.49066             0.00332313          
294  0.419926            0.00350066          
295  0.357948            0.00303804          
296  0.314213            0.0030809           
297  0.257065            0.00279484          
298  0.1403              0.00195973          
299  1.06405             0.00564258          
300  0.947998            0.00529521          
301  0.956274            0.0053362           
302  0.806522            0.00466581          
303  0.808622            0.00467268          
304  0.690515            0.00403929          
305  0.581098            0.00352143          
306  0.495548            0.00327293          
307  0.421709            0.00343829          
308  0.357162            0.00299534          
309  0.253591            0.00272073          
310  0.13673             0.00189853          
311  1.00556             0.00543485          
312  0.945885            0.00526331          
313  0.959899            0.00533177          
314  0.815882            0.00468864          
315  0.819417            0.00470048          
316  0.69991             0.00403621          
317  0.587337            0.00350538          
318  0.499058            0.00323715          
319  0.422891            0.00339182          
320  0.356482            0.00296393          
321  0.310063            0.00302193          
322  0.250984            0.00266746          
323  0.134109            0.00185413          
324  0.91497             0.00513709          
325  0.93566             0.00523159          
326  0.820964            0.0047037           
327  0.827572            0.00472586          
328  0.707077            0.00403395          
329  0.709182            0.00403644          
330  0.59394             0.00349175          
331  0.502755            0.00319783          
332  0.424126            0.0033377           
333  0.355676            0.00292865          
334  0.307991            0.00299271          
335  0.248036            0.00260909          
336  0.131178            0.00180493          
337  0.0205103           0.000663376         
338  0.878186            0.00501284          
339  0.817715            0.00470045          
340  0.828338            0.00473548          
341  0.711188            0.00403857          
342  0.714576            0.0040419           
343  0.598367            0.0034844           
344  0.505272            0.00316791          
