THPREDICTIONS CHORUSNU  NNPDF30_nlo_as_0118
0    1.14226             0.0356872           
1    1.24879             0.0446567           
2    1.21312             0.0413893           
3    1.39759             0.037787            
4    1.50808             0.0430624           
5    1.48808             0.0391912           
6    1.45925             0.0401513           
7    1.43197             0.0379524           
8    1.61808             0.0484851           
9    1.61189             0.0415503           
10   1.59295             0.0334601           
11   1.56535             0.0352029           
12   1.5432              0.0277007           
13   1.63503             0.0316572           
14   1.60772             0.0352114           
15   1.58217             0.0329119           
16   1.55849             0.0281193           
17   1.53591             0.0263585           
18   1.5575              0.0314307           
19   1.51345             0.0260308           
20   1.48346             0.0282014           
21   1.45564             0.0277726           
22   1.43306             0.0268471           
23   1.41762             0.0315762           
24   1.37504             0.0245716           
25   1.33943             0.0212123           
26   1.31115             0.02064             
27   1.28819             0.020537            
28   1.15036             0.0301025           
29   1.11189             0.0251133           
30   1.07783             0.0210471           
31   1.0513              0.0201441           
32   0.775282            0.0200215           
33   0.744205            0.0178207           
34   0.718034            0.0169552           
35   0.697069            0.0164408           
36   0.445727            0.0168926           
37   0.421936            0.0131809           
38   0.405156            0.0124488           
39   0.219054            0.0135212           
40   0.202783            0.0115422           
41   0.191355            0.00988269          
42   1.38821             0.0504882           
43   1.35855             0.0437571           
44   1.3171              0.0376386           
45   1.27468             0.0368257           
46   1.46005             0.0403402           
47   1.59113             0.0436079           
48   1.57554             0.0397131           
49   1.54637             0.0382334           
50   1.51649             0.0347571           
51   1.48677             0.0329197           
52   1.66537             0.0464215           
53   1.6755              0.0390492           
54   1.65198             0.0356223           
55   1.62468             0.0282704           
56   1.59594             0.0257048           
57   1.56909             0.0256754           
58   1.67589             0.0324791           
59   1.64917             0.0356633           
60   1.62103             0.0300592           
61   1.59181             0.0268387           
62   1.56338             0.0252418           
63   1.53778             0.0243872           
64   1.58934             0.0292387           
65   1.53863             0.0267976           
66   1.50073             0.0288489           
67   1.46919             0.0274281           
68   1.44225             0.0262676           
69   1.41916             0.0256678           
70   1.44243             0.0335692           
71   1.38601             0.0237863           
72   1.34305             0.0204968           
73   1.31022             0.0205166           
74   1.28445             0.0201016           
75   1.26214             0.0202875           
76   1.16463             0.0295919           
77   1.11116             0.0240062           
78   1.06909             0.0209029           
79   1.03965             0.0180413           
80   1.01606             0.017135            
81   0.996012            0.0168015           
82   0.78239             0.0212362           
83   0.739236            0.0176592           
84   0.706289            0.0167689           
85   0.68152             0.0163044           
86   0.662047            0.0160437           
87   0.450525            0.016835            
88   0.4173              0.013318            
89   0.395739            0.0121135           
90   0.379498            0.0112293           
91   0.367132            0.0107329           
92   0.221868            0.0143705           
93   0.199013            0.0108248           
94   0.185124            0.00965041          
95   0.175787            0.0095292           
96   0.168597            0.00926786          
97   0.959897            0.033651            
98   1.01152             0.0395524           
99   0.970212            0.040485            
100  1.31231             0.0387515           
101  1.44728             0.044794            
102  1.40584             0.0385086           
103  1.36257             0.0379985           
104  1.32443             0.0370796           
105  1.29119             0.0353134           
106  1.63506             0.0493044           
107  1.64212             0.0397607           
108  1.61819             0.0376474           
109  1.5871              0.0338288           
110  1.55332             0.031857            
111  1.52093             0.0299255           
112  1.49273             0.0284385           
113  1.70899             0.0438919           
114  1.70293             0.0354571           
115  1.67534             0.0280177           
116  1.64275             0.0260264           
117  1.61133             0.0261525           
118  1.58283             0.0277093           
119  1.55943             0.0272537           
120  1.68639             0.0371083           
121  1.65792             0.0319916           
122  1.62543             0.0267936           
123  1.59205             0.024996            
124  1.56144             0.0244214           
125  1.53517             0.0240411           
126  1.51326             0.0235569           
127  1.57128             0.0286409           
128  1.5272              0.0293117           
129  1.48953             0.0277312           
130  1.45771             0.0264242           
131  1.43013             0.025483            
132  1.4066              0.0244782           
133  1.38669             0.0234607           
134  1.41751             0.026422            
135  1.36139             0.0207609           
136  1.32093             0.0205039           
137  1.29005             0.0202455           
138  1.26384             0.0204358           
139  1.24143             0.0201749           
140  1.22237             0.0196457           
141  1.13661             0.0274338           
142  1.07901             0.0210776           
143  1.0419              0.0178646           
144  1.01331             0.0169822           
145  0.989942            0.0165351           
146  0.970611            0.0159485           
147  0.756476            0.0185738           
148  0.71112             0.0169445           
149  0.679604            0.0163873           
150  0.656497            0.0160214           
151  0.638642            0.0155375           
152  0.623845            0.0151111           
153  0.428366            0.0142986           
154  0.398               0.0125698           
155  0.377212            0.0113877           
156  0.362301            0.0107245           
157  0.350422            0.0101832           
158  0.340707            0.0099092           
159  0.206711            0.013987            
160  0.186094            0.00992097          
161  0.17406             0.00962207          
162  0.165459            0.00921364          
163  0.158862            0.00906996          
164  1.03661             0.0351447           
165  1.10231             0.0428619           
166  1.06137             0.041682            
167  1.02456             0.038525            
168  1.51749             0.0476285           
169  1.48602             0.040123            
170  1.44372             0.0392927           
171  1.40413             0.0375797           
172  1.36699             0.0350426           
173  1.3336              0.033144            
174  1.68029             0.042628            
175  1.6758              0.041038            
176  1.6505              0.0342333           
177  1.61544             0.0316022           
178  1.57892             0.029215            
179  1.54522             0.0276573           
180  1.51637             0.0270863           
181  1.7415              0.0378943           
182  1.72087             0.0317203           
183  1.68895             0.0262974           
184  1.65392             0.0264224           
185  1.62092             0.0274784           
186  1.59219             0.0272772           
187  1.56833             0.0264654           
188  1.69358             0.0357945           
189  1.66216             0.0282596           
190  1.62488             0.0253697           
191  1.58932             0.0245116           
192  1.55822             0.0240177           
193  1.53166             0.023244            
194  1.50962             0.0223765           
195  1.56505             0.0285333           
196  1.51768             0.028606            
197  1.47982             0.0268703           
198  1.44719             0.0256485           
199  1.41926             0.0243312           
200  1.3954              0.0230382           
201  1.37518             0.0223038           
202  1.39831             0.0232031           
203  1.34308             0.0207428           
204  1.30463             0.0203384           
205  1.27319             0.0205017           
206  1.2467              0.0200143           
207  1.22439             0.0194745           
208  1.2058              0.0192527           
209  1.11119             0.023166            
210  1.05605             0.0193728           
211  1.02061             0.017061            
212  0.992475            0.0164795           
213  0.969771            0.0157275           
214  0.951014            0.0154792           
215  0.935               0.0152602           
216  0.734686            0.0175978           
217  0.689662            0.0165773           
218  0.659709            0.0161621           
219  0.638059            0.0155729           
220  0.620717            0.0150939           
221  0.606259            0.0147272           
222  0.412829            0.0135155           
223  0.382933            0.0118503           
224  0.363602            0.0109854           
225  0.349163            0.0102867           
226  0.337829            0.00993695          
227  0.328508            0.009699            
228  0.195469            0.0109279           
229  0.177164            0.00992968          
230  0.165911            0.0093698           
231  0.157875            0.00909195          
232  0.151682            0.00890874          
233  0.146663            0.00875684          
234  1.12168             0.0372939           
235  1.20703             0.0458229           
236  1.17075             0.0419484           
237  1.13276             0.0412555           
238  1.09604             0.0410497           
239  1.56905             0.0541704           
240  1.56861             0.0426094           
241  1.53301             0.0408511           
242  1.49536             0.0380194           
243  1.45595             0.0345329           
244  1.41812             0.0328365           
245  1.38444             0.0322557           
246  1.72767             0.0405964           
247  1.71694             0.0352928           
248  1.68451             0.031469            
249  1.64535             0.0284204           
250  1.60672             0.0269071           
251  1.57179             0.0266737           
252  1.5423              0.0267134           
253  1.76491             0.0365227           
254  1.73921             0.0265245           
255  1.70169             0.0267327           
256  1.66433             0.027566            
257  1.63055             0.0269668           
258  1.60133             0.0253986           
