THPREDICTIONS ATLAS1JET11  NNPDF30_nlo_as_0118
0    5466.05             59.7424             
1    2537.03             27.1651             
2    1232.59             13.115              
3    625.765             6.70453             
4    319.006             3.47524             
5    168.538             1.87855             
6    91.5393             1.05615             
7    51.3757             0.616456            
8    29.3538             0.372206            
9    16.8237             0.226709            
10   9.85992             0.142592            
11   5.89008             0.0914178           
12   3.51777             0.0590879           
13   2.10198             0.0380233           
14   1.25706             0.0244635           
15   0.75803             0.0159852           
16   0.452502            0.0102031           
17   0.27479             0.00669467          
18   0.165771            0.0043329           
19   0.100635            0.0028285           
20   0.0611271           0.00184344          
21   0.0369869           0.00119636          
22   0.0224173           0.000779314         
23   0.0135053           0.000504196         
24   0.00801283          0.000322744         
25   0.00470895          0.000203176         
26   0.00276931          0.000129156         
27   0.00148055          7.51142e-05         
28   0.0005864           3.35328e-05         
29   0.000140909         9.54928e-06         
30   1.32238e-05         1.15805e-06         
31   5097.93             52.3137             
32   2346.32             23.5772             
33   1136.35             11.169              
34   571.95              5.54195             
35   290.3               2.84425             
36   151.66              1.54739             
37   82.5191             0.896369            
38   45.662              0.535968            
39   26.0762             0.331747            
40   14.9078             0.206663            
41   8.60616             0.129308            
42   5.13377             0.0837885           
43   3.01884             0.0531276           
44   1.79433             0.0341975           
45   1.06426             0.0219309           
46   0.632213            0.014067            
47   0.372913            0.00899589          
48   0.222317            0.00581738          
49   0.13184             0.00374043          
50   0.078396            0.00241608          
51   0.0459555           0.00153643          
52   0.0272641           0.000989344         
53   0.0159402           0.000625812         
54   0.00920625          0.000390016         
55   0.00524177          0.00023964          
56   0.00297373          0.000146393         
57   0.00116525          6.37576e-05         
58   0.000288173         1.88296e-05         
59   2.09343e-05         1.79153e-06         
60   4397.97             38.5412             
61   1989.53             16.7752             
62   948.784             8.09835             
63   477.585             4.26214             
64   238.727             2.28679             
65   123.099             1.29365             
66   66.0027             0.76827             
67   36.2666             0.465562            
68   20.242              0.287376            
69   11.3433             0.177446            
70   6.47096             0.112038            
71   3.72068             0.0704889           
72   2.15651             0.0449708           
73   1.23656             0.0284745           
74   0.70519             0.0179123           
75   0.398928            0.0111834           
76   0.226401            0.00701014          
77   0.126512            0.00429269          
78   0.0701013           0.0025977           
79   0.0387272           0.00155815          
80   0.0209339           0.000914087         
81   0.0112692           0.000532043         
82   0.00599326          0.000308111         
83   0.00306966          0.00017308          
84   0.00112623          7.34611e-05         
85   4.18005e-05         3.81607e-06         
86   3427.3              27.4336             
87   1554.36             13.3                
88   721.783             6.7785              
89   352.737             3.68869             
90   171.781             2.01955             
91   87.1221             1.16463             
92   45.1312             0.68653             
93   23.6016             0.408725            
94   12.8                0.250173            
95   6.77372             0.150097            
96   3.62717             0.0911258           
97   1.9628              0.0551103           
98   1.05123             0.0329568           
99   0.541636            0.0188301           
100  0.27988             0.0107033           
101  0.140395            0.00591828          
102  0.0692658           0.00323076          
103  0.0328059           0.0017122           
104  0.0153991           0.000916572         
105  0.00689649          0.000472227         
106  0.00303987          0.00024426          
107  0.000640846         6.79689e-05         
108  5.258e-06           1.05094e-06         
109  2428.9              24.1553             
110  1052.44             12.062              
111  471.251             6.29661             
112  218.182             3.4254              
113  100.227             1.87849             
114  46.7223             1.0344              
115  22.296              0.569236            
116  10.3326             0.311918            
117  5.00939             0.168255            
118  2.30849             0.0880735           
119  1.04919             0.0452061           
120  0.471501            0.0230464           
121  0.201965            0.0115466           
122  0.0839798           0.00562959          
123  0.0313902           0.00262391          
124  0.0119866           0.00122313          
125  0.00410804          0.00053208          
126  0.000822342         0.000149146         
127  2.07363e-05         6.80946e-06         
128  1420.34             23.3238             
129  557.437             11.4472             
130  222.864             5.62091             
131  90.0633             2.72414             
132  34.5657             1.23979             
133  13.0379             0.556135            
134  4.79735             0.242983            
135  1.76086             0.106976            
136  0.605454            0.0461291           
137  0.192844            0.0189778           
138  0.0358369           0.00509904          
139  0.00147982          0.000392235         
