THPREDICTIONS POSDYCSB  NNPDF30_nlo_as_0118
0    0.000841379         0.025388            
1    0.00720314          0.0208655           
2    0.00669148          0.0202648           
3    -0.0216926          0.0222949           
4    -0.039795           0.0206004           
5    -0.0412861          0.0136668           
6    -0.046393           0.0213485           
7    -0.0582417          0.0167447           
8    -0.0662493          0.0171535           
9    -0.0652976          0.0141999           
10   -0.045599           0.00777501          
11   -0.0321948          0.00678259          
12   -0.0229942          0.00585532          
13   -0.0161432          0.00413632          
14   -0.00990719         0.00432906          
15   -0.00429784         0.00280032          
16   -0.000774895        0.00193448          
17   0.000445298         0.00150273          
18   0.000493486         0.00106625          
19   0.000124956         0.000274396         
