THPREDICTIONS Z06NC  NNPDF30_nlo_as_0118
0    1.06151             0.00569773          
1    0.907902            0.00521444          
2    0.765083            0.00451977          
3    0.647625            0.00390663          
4    0.561269            0.00347456          
5    0.485171            0.00341185          
6    0.418562            0.00344327          
7    0.319351            0.00310639          
8    0.929361            0.00526752          
9    0.781891            0.00453608          
10   0.659352            0.00388563          
11   0.56915             0.0034355           
12   0.489763            0.00336438          
13   0.420353            0.00339173          
14   0.317516            0.00306988          
15   0.956223            0.00532853          
16   0.8054              0.00456776          
17   0.676374            0.00386483          
18   0.580706            0.00338727          
19   0.496387            0.00330262          
20   0.42299             0.00332235          
21   0.314892            0.00301828          
22   0.968897            0.00533747          
23   0.821637            0.00459264          
24   0.688762            0.00385589          
25   0.589083            0.00335928          
26   0.501234            0.00326386          
27   0.424982            0.00327735          
28   0.359293            0.00294537          
29   0.253409            0.00265906          
30   0.84047             0.00461667          
31   0.706306            0.0038535           
32   0.601795            0.00333027          
33   0.508934            0.00321909          
34   0.428311            0.00322404          
35   0.359126            0.00290995          
36   0.249661            0.00259771          
37   0.846762            0.00461814          
38   0.716046            0.00385837          
39   0.609424            0.00332113          
40   0.513631            0.00320299          
41   0.430705            0.00320218          
42   0.359439            0.00289527          
43   0.247853            0.00256765          
44   0.826284            0.0045033           
45   0.7338              0.00389521          
46   0.62658             0.00332943          
47   0.525705            0.00319511          
48   0.437332            0.0031844           
49   0.361509            0.00288306          
50   0.245231            0.00252121          
51   0.126542            0.00171252          
52   0.741387            0.00394917          
53   0.638045            0.00336356          
54   0.534542            0.00321983          
55   0.44285             0.00319481          
56   0.364017            0.00289105          
57   0.310204            0.00288749          
58   0.244548            0.00250567          
59   0.125006            0.00168609          
60   0.65565             0.00348356          
61   0.5502              0.00330974          
62   0.453342            0.00324073          
63   0.369555            0.00292884          
64   0.312909            0.00290143          
65   0.244866            0.00250111          
66   0.123575            0.001659            
67   0.584077            0.00361991          
68   0.478553            0.0034377           
69   0.384492            0.00304583          
70   0.321803            0.00297354          
71   0.248657            0.00253039          
72   0.122926            0.0016393           
73   0.0173256           0.000585535         
74   0.538795            0.00408631          
75   0.424116            0.00342024          
76   0.347565            0.00322686          
77   0.262592            0.00267736          
78   0.125539            0.00166091          
79   0.493929            0.00418236          
80   0.395824            0.00376356          
81   0.290404            0.00300493          
82   0.133016            0.00175554          
83   0.0172591           0.000614992         
84   0.46354             0.00459144          
85   0.332266            0.00353623          
86   0.145195            0.00193042          
87   0.408707            0.00457053          
88   0.171479            0.0023438           
89   0.200862            0.00283612          
