THPREDICTIONS NTVNBDMN  NNPDF30_nlo_as_0118
0    5.07847             1.72345             
1    5.5767              1.48935             
2    4.43055             1.11452             
3    2.33622             0.636612            
4    5.61477             2.41221             
5    7.36233             1.41354             
6    6.95907             1.29853             
7    5.29377             0.938218            
8    2.52732             0.529825            
9    6.16985             2.75606             
10   8.00776             1.4022              
11   7.27981             1.29708             
12   5.45389             0.927762            
13   2.52572             0.522296            
14   9.14923             3.0169              
15   9.86262             1.48216             
16   8.51884             1.35095             
17   6.15618             0.953879            
18   2.78385             0.53548             
19   12.2783             3.47066             
20   11.8202             1.48601             
21   9.44648             1.2994              
22   6.53165             0.949078            
23   2.79798             0.503573            
24   13.3793             3.69801             
25   11.9872             1.46758             
26   9.38798             1.26412             
27   6.43657             0.930742            
28   2.71812             0.475397            
29   14.83               3.56041             
30   13.5823             1.52244             
31   10.5646             1.32301             
32   7.15203             0.962132            
33   3.0055              0.510898            
34   18.7712             4.07294             
35   14.79               1.51787             
36   10.9243             1.26573             
37   7.18727             0.930538            
38   2.91248             0.464144            
39   19.1872             4.22339             
40   14.4928             1.51524             
41   10.6045             1.21726             
42   6.92887             0.897975            
43   2.78686             0.440633            
