THPREDICTIONS POSDYUBD  NNPDF30_nlo_as_0118
0    0.0395123           0.132423            
1    0.603613            0.348525            
2    2.2901              0.334795            
3    5.08546             0.483844            
4    8.014               0.58175             
5    9.90485             0.675171            
6    10.631              0.68036             
7    10.2834             0.613708            
8    9.0266              0.592201            
9    7.25733             0.389569            
10   3.46021             0.287628            
11   1.78574             0.257767            
12   0.780368            0.252848            
13   0.453038            0.216242            
14   0.26594             0.159169            
15   0.0934245           0.168212            
16   0.095158            0.192164            
17   -0.111693           0.153984            
18   0.0560388           0.111255            
19   0.0828074           0.116545            
