THPREDICTIONS HIGGSPOS  NNPDF30_nlo_as_0118
0    4.67754e-07         2.35612e-07         
1    5.06896e-07         3.5728e-07          
2    4.83561e-07         4.1971e-07          
3    4.71428e-07         4.9319e-07          
4    4.94063e-07         5.83498e-07         
5    4.85484e-07         6.75296e-07         
6    4.36044e-07         7.06488e-07         
7    3.89795e-07         7.01799e-07         
